
LogFile started: 9/11/2025 1:15:42 PM
Application    : DSSAT v4.8
Path/ExeName   : C:\dssat48\dssat48.exe
********************************************************************************

Entries:
00001:  [1:15:42 PM] [9/11/2025]Initializing DSSAT Version 4.8.5.0
00002:  [1:15:45 PM] [9/11/2025]C:\DSSAT48\SOIL
00003:  [1:15:45 PM] [9/11/2025]C:\DSSAT48\SOIL\AG.SOL
00004:  [1:15:45 PM] [9/11/2025]C:\DSSAT48\SOIL\AZ.SOL
00005:  [1:15:45 PM] [9/11/2025]C:\DSSAT48\SOIL\BR.SOL
00006:  [1:15:45 PM] [9/11/2025]C:\DSSAT48\SOIL\CA.SOL
00007:  [1:15:45 PM] [9/11/2025]C:\DSSAT48\SOIL\CF.SOL
00008:  [1:15:45 PM] [9/11/2025]C:\DSSAT48\SOIL\CN.SOL
00009:  [1:15:45 PM] [9/11/2025]C:\DSSAT48\SOIL\CO.SOL
00010:  [1:15:45 PM] [9/11/2025]C:\DSSAT48\SOIL\CP.SOL
00011:  [1:15:45 PM] [9/11/2025]C:\DSSAT48\SOIL\CR.SOL
00012:  [1:15:45 PM] [9/11/2025]C:\DSSAT48\SOIL\DI.SOL
00013:  [1:15:45 PM] [9/11/2025]C:\DSSAT48\SOIL\EB.SOL
00014:  [1:15:45 PM] [9/11/2025]C:\DSSAT48\SOIL\ET.SOL
00015:  [1:15:45 PM] [9/11/2025]C:\DSSAT48\SOIL\GA.SOL
00016:  [1:15:45 PM] [9/11/2025]C:\DSSAT48\SOIL\GH.SOL
00017:  [1:15:45 PM] [9/11/2025]C:\DSSAT48\SOIL\HC.SOL
00018:  [1:15:45 PM] [9/11/2025]C:\DSSAT48\SOIL\IC.SOL
00019:  [1:15:45 PM] [9/11/2025]C:\DSSAT48\SOIL\IR.SOL
00020:  [1:15:45 PM] [9/11/2025]C:\DSSAT48\SOIL\IU.SOL
00021:  [1:15:45 PM] [9/11/2025]C:\DSSAT48\SOIL\IZ.SOL
00022:  [1:15:45 PM] [9/11/2025]C:\DSSAT48\SOIL\KK.SOL
00023:  [1:15:45 PM] [9/11/2025]C:\DSSAT48\SOIL\KZ.SOL
