*EVALUATION : TUDU1501WH                                                              DSSAT Cropping System Model Ver. 4.8.5.000   -release    OCT 27, 2025; 22:35:44

@RUN EXCODE        TN RN CR   ADAPS   ADAPM   PD1PS   PD1PM   PDFPS   PDFPM   MDAPS   MDAPM   HWAMS   HWAMM   PWAMS   PWAMM   H#AMS   H#AMM   HWUMS   HWUMM   H#UMS   H#UMM   CWAMS   CWAMM   BWAMS   BWAMM   LAIXS   LAIXM   HIAMS   HIAMM   THAMS   THAMM   GNAMS   GNAMM   CNAMS   CNAMM   SNAMS   SNAMM   GN%MS   GN%MM   CWAAS   CWAAM   CNAAS   CNAAM   L#SMS   L#SMM   EDAPS   EDAPM
   1 TUDU1501WH     1  1 WH      97     -99     -99     -99     -99     -99     147     -99    4399    6135     -99     -99   13053     -99    33.7     -99    34.8     -99   11520     -99       0     -99    3.46     -99   0.382     -99     -99     -99      96     -99     122     -99       0     -99     2.2     -99       2     -99      33     -99    0.00     -99      12     -99
   2 TUDU1501WH     2  1 WH      97     -99     -99     -99     -99     -99     147     -99    4423    7361     -99     -99   13229     -99    33.4     -99    35.3     -99   11678     -99       0     -99    3.56     -99   0.379     -99     -99     -99      98     -99     125     -99       0     -99     2.2     -99       2     -99      33     -99    0.00     -99      12     -99
   3 TUDU1501WH     3  1 WH      97     -99     -99     -99     -99     -99     147     -99    3270    6322     -99     -99    6764     -99    48.3     -99    18.0     -99    6919     -99       0     -99    1.92     -99   0.473     -99     -99     -99      54     -99      65     -99       0     -99     1.6     -99       2     -99      33     -99    0.00     -99      12     -99
   4 TUDU1501WH     4  1 WH      97     -99     -99     -99     -99     -99     147     -99    4417    6934     -99     -99   13179     -99    33.5     -99    35.1     -99   11638     -99       0     -99    3.54     -99   0.380     -99     -99     -99      97     -99     124     -99       0     -99     2.2     -99       2     -99      33     -99    0.00     -99      12     -99
   5 TUDU1501WH     5  1 WH      97     -99     -99     -99     -99     -99     147     -99    4569    7360     -99     -99   14265     -99    32.0     -99    38.0     -99   12670     -99       0     -99    4.17     -99   0.361     -99     -99     -99     100     -99     144     -99       0     -99     2.2     -99       2     -99      33     -99    0.00     -99      12     -99
   6 TUDU1501WH     6  1 WH      97     -99     -99     -99     -99     -99     147     -99    4398    6886     -99     -99   13043     -99    33.7     -99    34.8     -99   11509     -99       0     -99    3.46     -99   0.382     -99     -99     -99      96     -99     122     -99       0     -99     2.2     -99       2     -99      33     -99    0.00     -99      12     -99
   7 TUDU1501WH     7  1 WH      97     -99     -99     -99     -99     -99     147     -99    4562    7711     -99     -99   14198     -99    32.1     -99    37.9     -99   12634     -99       0     -99    4.16     -99   0.361     -99     -99     -99     101     -99     132     -99       0     -99     2.2     -99       2     -99      33     -99    0.00     -99      12     -99
   8 TUDU1501WH     8  1 WH      97     -99     -99     -99     -99     -99     147     -99    4638    7727     -99     -99   14728     -99    31.5     -99    39.3     -99   13175     -99       0     -99    4.52     -99   0.352     -99     -99     -99     101     -99     153     -99       0     -99     2.2     -99       2     -99      33     -99    0.00     -99      12     -99
   9 TUDU1501WH     9  1 WH      97     -99     -99     -99     -99     -99     147     -99    4592    8208     -99     -99   15041     -99    30.5     -99    40.1     -99   13414     -99       0     -99    4.74     -99   0.342     -99     -99     -99      99     -99     161     -99       0     -99     2.2     -99       2     -99      33     -99    0.00     -99      12     -99
  10 TUDU1501WH    10  1 WH      97     -99     -99     -99     -99     -99     147     -99    3274    6569     -99     -99    6764     -99    48.4     -99    18.0     -99    6922     -99       0     -99    1.92     -99   0.473     -99     -99     -99      54     -99      65     -99       0     -99     1.6     -99       2     -99      33     -99    0.00     -99      12     -99
  11 TUDU1501WH    11  1 WH      97     -99     -99     -99     -99     -99     147     -99    4599    8142     -99     -99   15010     -99    30.6     -99    40.0     -99   13397     -99       0     -99    4.72     -99   0.343     -99     -99     -99      99     -99     161     -99       0     -99     2.2     -99       2     -99      33     -99    0.00     -99      12     -99
  12 TUDU1501WH    12  1 WH      97     -99     -99     -99     -99     -99     147     -99    4597    8136     -99     -99   15013     -99    30.6     -99    40.0     -99   13395     -99       0     -99    4.72     -99   0.343     -99     -99     -99      99     -99     160     -99       0     -99     2.2     -99       2     -99      33     -99    0.00     -99      12     -99
  13 TUDU1501WH    13  1 WH      97     -99     -99     -99     -99     -99     147     -99    4631    7992     -99     -99   14677     -99    31.6     -99    39.1     -99   13120     -99       0     -99    4.48     -99   0.353     -99     -99     -99     101     -99     152     -99       0     -99     2.2     -99       2     -99      33     -99    0.00     -99      12     -99
  14 TUDU1501WH    14  1 WH      97     -99     -99     -99     -99     -99     147     -99    4566    7907     -99     -99   14270     -99    32.0     -99    38.1     -99   12672     -99       0     -99    4.18     -99   0.360     -99     -99     -99     100     -99     158     -99       0     -99     2.2     -99       2     -99      33     -99    0.00     -99      12     -99
  15 TUDU1501WH    15  1 WH      97     -99     -99     -99     -99     -99     147     -99    2322    3602     -99     -99    6764     -99    34.3     -99    18.0     -99    6510     -99       0     -99    1.92     -99   0.357     -99     -99     -99      38     -99      51     -99       0     -99     1.6     -99       2     -99      33     -99    0.00     -99      12     -99
