*GHG emissions output file

*DSSAT Cropping System Model Ver. 4.8.5.000 -release  OCT 27, 2025 22:35:44

*RUN   1        : 1                         WHAPS048 TUDU1501    1
 MODEL          : WHAPS048 - Wheat
 EXPERIMENT     : TUDU1501 WH
 DATA PATH      :
 TREATMENT  1   : 1                         WHAPS048
  
!               |---------- Daily (g/ha) ----------|------- Cumulative (kg/ha) --------|---- Cum CO2-equiv kg[CO2eq]/ha ---|
!               Soil CO2  Net CO2      N2O      CH4 Soil CO2  Net CO2      N2O      CH4  Net CO2      N2O      CH4    Total
!                g[C]/ha  g[C]/ha  g[N]/ha  g[C]/ha kg[C]/ha kg[C]/ha kg[N]/ha kg[C]/ha    CO2eq    CO2eq    CO2eq    CO2eq
@YEAR DOY   DAS   CO2GED   CO2END   N2OGED   CH4GED    CO2EC   CO2ENC    N2OEC    CH4EC    CCEQC    NCEQC    MCEQC    TCEQC
   15 077     1    11813     1156     0.06     0.00       12        1     0.00     0.00        4        0        0        4
   15 078     2    10011     1063     0.10     0.00       22        2     0.00     0.00        8        0        0        8
   15 079     3     7794      969     0.14     0.00       30        3     0.00     0.00       12        0        0       12
   15 080     4     5527      750     0.18     0.00       35        4     0.00     0.00       14        0        0       15
   15 081     5     3507      469     0.21     0.00       39        4     0.00     0.00       16        0        0       16
   15 082     6      726      188     0.24     0.00       39        5     0.00     0.00       17        0        0       17
   15 083     7       90       31     0.27     0.00       39        5     0.00     0.00       17        1        0       18
   15 084     8      107       63     0.30     0.00       40        5     0.00     0.00       17        1        0       18
   15 085     9      595      125     0.32     0.00       40        5     0.00     0.00       18        1        0       19
   15 086    10      702      188     0.35     0.00       41        5     0.00     0.00       18        1        0       19
   15 087    11     1613      281     0.36     0.00       42        5     0.00     0.00       19        1        0       21
   15 088    12     2663      469     0.39     0.00       45        6     0.00     0.00       21        1        0       22
   15 089    13     3592      563     0.41     0.00       49        6     0.00     0.00       23        2        0       25
   15 090    14     3071      438     0.37     0.00       52        7     0.00     0.00       25        2        0       27
   15 091    15     3608      500     0.28     0.00       55        7     0.00     0.00       27        2        0       28
   15 092    16     2357      344     0.26     0.00       58        8     0.00     0.00       28        2        0       30
   15 093    17     1163      219     0.20     0.00       59        8     0.00     0.00       29        2        0       31
   15 094    18       46        0     0.42     0.00       59        8     0.00     0.00       29        2        0       31
   15 095    19        0        0     0.27     0.00       59        8     0.01     0.00       29        2        0       31
   15 096    20        0        0     0.46     0.00       59        8     0.01     0.00       29        3        0       31
   15 097    21        0        0     0.55     0.00       59        8     0.01     0.00       29        3        0       32
   15 098    22        0        0     0.55     0.00       59        8     0.01     0.00       29        3        0       32
   15 099    23        0        0     0.79     0.00       59        8     0.01     0.00       29        3        0       32
   15 100    24       44       31     1.08     0.00       59        8     0.01     0.00       29        4        0       33
   15 101    25     2768      438     1.41     0.00       62        8     0.01     0.00       30        5        0       35
   15 102    26     6168      969     1.76     0.00       68        9     0.01     0.00       34        5        0       39
   15 103    27     9028     1500     2.11     0.00       77       11     0.01     0.00       39        6        0       46
   15 104    28    10496     1813     2.37     0.00       87       13     0.02     0.00       46        8        0       54
   15 105    29    10690     1938     2.50     0.00       98       15     0.02     0.00       53        9        0       62
   15 106    30    11346     2188     2.53     0.00      110       17     0.02     0.00       61       10        0       71
   15 107    31    12037     2531     2.50     0.00      122       19     0.02     0.00       71       11        0       82
   15 108    32    13022     2406     0.72     0.00      135       22     0.02     0.00       79       11        0       91
   15 109    33    11300     1875     1.66     0.00      146       24     0.03     0.00       86       12        0       98
   15 110    34     9394     1531     2.23     0.00      155       25     0.03     0.00       92       13        0      105
   15 111    35     6955     1250     2.08     0.00      162       26     0.03     0.00       96       14        0      111
   15 112    36     5039      969     1.91     0.00      167       27     0.03     0.00      100       15        0      115
   15 113    37     4862     1031     1.77     0.00      172       28     0.03     0.00      104       16        0      120
   15 114    38     4999     1125     1.65     0.00      177       29     0.04     0.00      108       17        0      125
   15 115    39     5796     1344     1.53     0.00      183       31     0.04     0.00      113       17        0      130
   15 116    40     6626     1563     1.39     0.00      190       32     0.04     0.00      119       18        0      137
   15 117    41     8032     2000     1.26     0.00      198       34     0.04     0.00      126       19        0      145
   15 118    42     9774     2156     1.10     0.00      207       36     0.04     0.00      134       19        0      153
   15 119    43    10566     2281     0.59     0.00      218       39     0.04     0.00      142       19        0      162
   15 120    44     9906     2063     0.90     0.00      228       41     0.04     0.00      150       20        0      170
   15 121    45     9497     2000     0.91     0.00      237       43     0.04     0.00      157       20        0      177
   15 122    46     6528     1719     0.30     0.00      244       45     0.04     0.00      163       20        0      184
   15 123    47     5503     1344     0.44     0.00      249       46     0.04     0.00      168       21        0      189
   15 124    48     6616     1844     0.27     0.00      256       48     0.04     0.00      175       21        0      196
   15 125    49    10131     2531     0.53     0.00      266       50     0.04     0.00      184       21        0      205
   15 126    50    12492     3219     0.45     0.00      279       53     0.05     0.00      196       21        0      218
   15 127    51    11986     3781     0.28     0.00      291       57     0.05     0.00      210       21        0      232
   15 128    52    13404     3938     0.52     0.00      304       61     0.05     0.00      225       22        0      246
   15 129    53    14092     4063     0.67     0.00      318       65     0.05     0.00      239       22        0      261
   15 130    54    12911     3875     0.55     0.00      331       69     0.05     0.00      254       22        0      276
   15 131    55    11260     3438     0.71     0.00      342       73     0.05     0.00      266       23        0      289
   15 132    56    11246     3750     0.71     0.00      353       76     0.05     0.00      280       23        0      303
   15 133    57    12047     4281     0.73     0.00      366       81     0.05     0.00      296       23        0      319
   15 134    58    12803     4500     0.60     0.00      378       85     0.05     0.00      312       24        0      336
   15 135    59    12398     4719     0.76     0.00      391       90     0.05     0.00      330       24        0      353
   15 136    60    11654     4594     0.76     0.00      402       94     0.05     0.00      346       24        0      371
   15 137    61    11265     4563     0.76     0.00      414       99     0.05     0.00      363       25        0      388
   15 138    62    10163     4156     0.76     0.00      424      103     0.05     0.00      378       25        0      403
   15 139    63     9308     3969     0.76     0.00      433      107     0.05     0.00      393       25        0      418
   15 140    64     9657     3844     0.28     0.00      443      111     0.05     0.00      407       25        0      433
   15 141    65     8661     3656     0.25     0.00      451      115     0.05     0.00      421       26        0      446
   15 142    66     8257     3344     0.38     0.00      460      118     0.05     0.00      433       26        0      459
   15 143    67     7583     2969     0.59     0.00      467      121     0.06     0.00      444       26        0      470
   15 144    68     6543     2594     0.48     0.00      474      124     0.06     0.00      453       26        0      479
   15 145    69     6073     2438     0.57     0.00      480      126     0.06     0.00      462       26        0      489
   15 146    70     7400     3031     0.72     0.00      487      129     0.06     0.00      473       27        0      500
   15 147    71     7849     3219     0.80     0.00      495      132     0.06     0.00      485       27        0      512
   15 148    72     7741     3188     0.77     0.00      503      135     0.06     0.00      497       28        0      524
   15 149    73     7850     3250     0.74     0.00      511      139     0.06     0.00      509       28        0      537
   15 150    74     8548     3688     0.71     0.00      519      142     0.06     0.00      522       28        0      551
   15 151    75     8576     3719     0.68     0.00      528      146     0.06     0.00      536       29        0      564
   15 152    76     9285     4125     0.65     0.00      537      150     0.06     0.00      551       29        0      580
   15 153    77    11416     5031     1.61     0.00      549      155     0.06     0.00      570       30        0      599
   15 154    78    12736     5813     2.26     0.00      561      161     0.07     0.00      591       31        0      622
   15 155    79    13443     6344     2.57     0.00      575      167     0.07     0.00      614       32        0      646
   15 156    80    13670     6781     2.67     0.00      588      174     0.07     0.00      639       33        0      672
   15 157    81    14128     7375     2.66     0.00      603      182     0.07     0.00      666       34        0      700
   15 158    82    14825     7625     2.30     0.00      617      189     0.08     0.00      694       35        0      730
   15 159    83    13980     7563     2.08     0.00      631      197     0.08     0.00      722       36        0      758
   15 160    84    15677     7094     0.64     0.00      647      204     0.08     0.00      748       37        0      785
   15 161    85    14404     6531     1.14     0.00      661      210     0.08     0.00      772       37        0      809
   15 162    86    12668     5969     1.29     0.00      674      216     0.08     0.00      794       38        0      832
   15 163    87    11731     5656     1.33     0.00      686      222     0.08     0.00      815       38        0      853
   15 164    88    11230     5625     1.14     0.00      697      228     0.08     0.00      835       39        0      874
   15 165    89    11697     5906     0.53     0.00      709      233     0.08     0.00      857       39        0      896
   15 166    90    12817     6844     0.40     0.00      722      240     0.08     0.00      882       39        0      921
   15 167    91    12935     7000     0.35     0.00      735      247     0.08     0.00      908       40        0      947
   15 168    92    13118     6750     0.57     0.00      748      254     0.09     0.00      932       40        0      972
   15 169    93    12175     6156     0.72     0.00      760      260     0.09     0.00      955       40        0      995
   15 170    94    10415     5594     0.25     0.00      770      266     0.09     0.00      976       40        0     1016
   15 171    95     9255     4875     0.46     0.00      779      271     0.09     0.00      993       41        0     1034
   15 172    96     8835     4594     0.56     0.00      788      275     0.09     0.00     1010       41        0     1051
   15 173    97     8445     4406     0.59     0.00      797      280     0.09     0.00     1026       41        0     1068
   15 174    98     8310     4594     0.19     0.00      805      284     0.09     0.00     1043       41        0     1084
   15 175    99     8257     4563     0.26     0.00      813      289     0.09     0.00     1060       41        0     1101
   15 176   100     8615     4656     0.42     0.00      822      294     0.09     0.00     1077       41        0     1119
   15 177   101     8958     4875     0.50     0.00      831      298     0.09     0.00     1095       42        0     1137
   15 178   102     9318     5250     0.46     0.00      840      304     0.09     0.00     1114       42        0     1156
   15 179   103     9378     5531     0.43     0.00      850      309     0.09     0.00     1135       42        0     1177
   15 180   104    10034     6031     0.40     0.00      860      315     0.09     0.00     1157       42        0     1199
   15 181   105    10601     6594     0.38     0.00      870      322     0.09     0.00     1181       42        0     1223
   15 182   106    11305     7219     0.36     0.00      882      329     0.09     0.00     1207       43        0     1250
   15 183   107    11305     7500     0.35     0.00      893      337     0.09     0.00     1235       43        0     1278
   15 184   108    11159     7625     1.79     0.00      904      344     0.09     0.00     1263       44        0     1307
   15 185   109    11114     7750     2.74     0.00      915      352     0.10     0.00     1291       45        0     1336
   15 186   110    11076     7969     3.25     0.00      926      360     0.10     0.00     1321       46        0     1367
   15 187   111    10862     7969     3.34     0.00      937      368     0.10     0.00     1350       48        0     1398
   15 188   112    10356     7813     2.88     0.00      947      376     0.11     0.00     1379       49        0     1428
   15 189   113    11317     8094     2.09     0.00      959      384     0.11     0.00     1408       50        0     1459
   15 190   114    11268     7469     1.69     0.00      970      391     0.11     0.00     1436       51        0     1487
   15 191   115     9669     6656     1.43     0.00      980      398     0.11     0.00     1460       52        0     1512
   15 192   116     8070     5781     1.22     0.00      988      404     0.11     0.00     1481       52        0     1534
   15 193   117     7017     5156     1.08     0.00      995      409     0.11     0.00     1500       53        0     1553
   15 194   118     5928     4563     0.96     0.00     1001      413     0.11     0.00     1517       53        0     1570
   15 195   119     5813     4469     0.81     0.00     1006      418     0.11     0.00     1533       54        0     1587
   15 196   120     6180     4844     0.72     0.00     1013      423     0.12     0.00     1551       54        0     1605
   15 197   121     6459     5125     0.64     0.00     1019      428     0.12     0.00     1570       54        0     1624
   15 198   122     6416     5219     0.58     0.00     1026      433     0.12     0.00     1589       55        0     1644
   15 199   123     6246     5125     0.52     0.00     1032      438     0.12     0.00     1608       55        0     1663
   15 200   124     6120     5156     0.48     0.00     1038      443     0.12     0.00     1627       55        0     1682
   15 201   125     5990     5125     0.45     0.00     1044      448     0.12     0.00     1646       55        0     1701
   15 202   126     5875     5094     0.42     0.00     1050      454     0.12     0.00     1664       56        0     1720
   15 203   127     5808     5063     0.40     0.00     1056      459     0.12     0.00     1683       56        0     1739
   15 204   128     5607     5000     0.38     0.00     1061      464     0.12     0.00     1701       56        0     1757
   15 205   129     5590     4875     0.35     0.00     1067      468     0.12     0.00     1719       56        0     1775
   15 206   130     5460     4813     0.35     0.00     1072      473     0.12     0.00     1737       56        0     1793
   15 207   131     5070     4500     0.34     0.00     1077      478     0.12     0.00     1753       56        0     1810
   15 208   132     4511     4063     0.34     0.00     1082      482     0.12     0.00     1768       57        0     1825
   15 209   133     4632     3875     0.30     0.00     1086      486     0.12     0.00     1782       57        0     1839
   15 210   134     4454     3719     0.30     0.00     1091      489     0.12     0.00     1796       57        0     1853
   15 211   135     4071     3375     0.30     0.00     1095      493     0.12     0.00     1809       57        0     1865
   15 212   136     3693     3094     0.31     0.00     1099      496     0.12     0.00     1820       57        0     1877
   15 213   137     3609     3125     0.31     0.00     1102      499     0.12     0.00     1831       57        0     1889
   15 214   138     3466     3000     0.32     0.00     1106      502     0.12     0.00     1842       57        0     1900
   15 215   139     3492     3063     0.32     0.00     1109      505     0.12     0.00     1854       58        0     1911
   15 216   140     3697     3313     0.32     0.00     1113      508     0.12     0.00     1866       58        0     1923
   15 217   141     4019     3563     0.32     0.00     1117      512     0.12     0.00     1879       58        0     1937
   15 218   142     4214     3844     0.32     0.00     1121      516     0.12     0.00     1893       58        0     1951
   15 219   143     4497     4125     0.32     0.00     1126      520     0.12     0.00     1908       58        0     1966
   15 220   144     4745     4344     0.32     0.00     1130      524     0.12     0.00     1924       58        0     1982
   15 221   145     5181     4688     0.31     0.00     1136      529     0.12     0.00     1941       58        0     2000
   15 222   146     5265     4750     0.31     0.00     1141      534     0.13     0.00     1959       59        0     2017
   15 223   147     5321     4875     0.31     0.00     1146      539     0.13     0.00     1977       59        0     2035
   15 224   148     5281     4875     0.32     0.00     1151      543     0.13     0.00     1994       59        0     2053

*DSSAT Cropping System Model Ver. 4.8.5.000 -release  OCT 27, 2025 22:35:44

*RUN   2        : 2                         WHAPS048 TUDU1501    2
 MODEL          : WHAPS048 - Wheat
 EXPERIMENT     : TUDU1501 WH
 DATA PATH      :
 TREATMENT  2   : 2                         WHAPS048
  
!               |---------- Daily (g/ha) ----------|------- Cumulative (kg/ha) --------|---- Cum CO2-equiv kg[CO2eq]/ha ---|
!               Soil CO2  Net CO2      N2O      CH4 Soil CO2  Net CO2      N2O      CH4  Net CO2      N2O      CH4    Total
!                g[C]/ha  g[C]/ha  g[N]/ha  g[C]/ha kg[C]/ha kg[C]/ha kg[N]/ha kg[C]/ha    CO2eq    CO2eq    CO2eq    CO2eq
@YEAR DOY   DAS   CO2GED   CO2END   N2OGED   CH4GED    CO2EC   CO2ENC    N2OEC    CH4EC    CCEQC    NCEQC    MCEQC    TCEQC
   15 077     1    11813     1156     0.06     0.00       12        1     0.00     0.00        4        0        0        4
   15 078     2    10011     1063     0.10     0.00       22        2     0.00     0.00        8        0        0        8
   15 079     3     7794      969     0.14     0.00       30        3     0.00     0.00       12        0        0       12
   15 080     4     5527      750     0.18     0.00       35        4     0.00     0.00       14        0        0       15
   15 081     5     3507      469     0.21     0.00       39        4     0.00     0.00       16        0        0       16
   15 082     6      726      188     0.24     0.00       39        5     0.00     0.00       17        0        0       17
   15 083     7       90       31     0.27     0.00       39        5     0.00     0.00       17        1        0       18
   15 084     8      107       63     0.30     0.00       40        5     0.00     0.00       17        1        0       18
   15 085     9      595      125     0.32     0.00       40        5     0.00     0.00       18        1        0       19
   15 086    10      702      188     0.35     0.00       41        5     0.00     0.00       18        1        0       19
   15 087    11     1613      281     0.36     0.00       42        5     0.00     0.00       19        1        0       21
   15 088    12     2663      469     0.39     0.00       45        6     0.00     0.00       21        1        0       22
   15 089    13     3592      563     0.41     0.00       49        6     0.00     0.00       23        2        0       25
   15 090    14     3071      438     0.37     0.00       52        7     0.00     0.00       25        2        0       27
   15 091    15     3608      500     0.28     0.00       55        7     0.00     0.00       27        2        0       28
   15 092    16     2357      344     0.26     0.00       58        8     0.00     0.00       28        2        0       30
   15 093    17     1163      219     0.20     0.00       59        8     0.00     0.00       29        2        0       31
   15 094    18       46        0     0.42     0.00       59        8     0.00     0.00       29        2        0       31
   15 095    19        0        0     0.27     0.00       59        8     0.01     0.00       29        2        0       31
   15 096    20        0        0     0.46     0.00       59        8     0.01     0.00       29        3        0       31
   15 097    21        0        0     0.55     0.00       59        8     0.01     0.00       29        3        0       32
   15 098    22        0        0     0.55     0.00       59        8     0.01     0.00       29        3        0       32
   15 099    23        0        0     0.87     0.00       59        8     0.01     0.00       29        4        0       32
   15 100    24       44       31     1.15     0.00       59        8     0.01     0.00       29        4        0       33
   15 101    25     2768      438     1.42     0.00       62        8     0.01     0.00       30        5        0       35
   15 102    26     6168      969     1.68     0.00       68        9     0.01     0.00       34        6        0       39
   15 103    27     9028     1500     1.91     0.00       77       11     0.01     0.00       39        6        0       46
   15 104    28    10496     1813     2.08     0.00       87       13     0.02     0.00       46        7        0       53
   15 105    29    10690     1938     2.14     0.00       98       15     0.02     0.00       53        8        0       62
   15 106    30    11346     2188     2.14     0.00      110       17     0.02     0.00       61        9        0       71
   15 107    31    12037     2531     2.10     0.00      122       19     0.02     0.00       71       10        0       81
   15 108    32    13022     2406     0.60     0.00      135       22     0.02     0.00       79       11        0       90
   15 109    33    11300     1875     1.38     0.00      146       24     0.02     0.00       86       11        0       98
   15 110    34     9394     1531     1.85     0.00      155       25     0.03     0.00       92       12        0      104
   15 111    35     6955     1250     1.72     0.00      162       26     0.03     0.00       96       13        0      109
   15 112    36     5039      969     1.59     0.00      167       27     0.03     0.00      100       14        0      114
   15 113    37     4862     1031     1.47     0.00      172       28     0.03     0.00      104       14        0      118
   15 114    38     4999     1125     1.37     0.00      177       29     0.03     0.00      108       15        0      123
   15 115    39     5796     1344     1.28     0.00      183       31     0.03     0.00      113       16        0      129
   15 116    40     6626     1563     1.16     0.00      190       32     0.03     0.00      119       16        0      135
   15 117    41     8031     2000     1.06     0.00      198       34     0.04     0.00      126       17        0      143
   15 118    42     9772     2156     0.94     0.00      207       36     0.04     0.00      134       17        0      151
   15 119    43    10560     2281     0.50     0.00      218       39     0.04     0.00      142       17        0      160
   15 120    44     9902     2063     0.78     0.00      228       41     0.04     0.00      150       18        0      168
   15 121    45     9493     2000     0.79     0.00      237       43     0.04     0.00      157       18        0      175
   15 122    46     6528     1719     0.26     0.00      244       45     0.04     0.00      163       18        0      182
   15 123    47     5503     1344     0.41     0.00      249       46     0.04     0.00      168       18        0      187
   15 124    48     6630     1844     0.27     0.00      256       48     0.04     0.00      175       19        0      194
   15 125    49    10152     2531     0.53     0.00      266       50     0.04     0.00      184       19        0      203
   15 126    50    12517     3188     0.45     0.00      279       53     0.04     0.00      196       19        0      215
   15 127    51    12040     3781     0.28     0.00      291       57     0.04     0.00      210       19        0      229
   15 128    52    13460     3938     0.52     0.00      304       61     0.04     0.00      224       19        0      244
   15 129    53    14140     4031     0.69     0.00      318       65     0.04     0.00      239       20        0      259
   15 130    54    12933     3875     0.56     0.00      331       69     0.04     0.00      253       20        0      273
   15 131    55    11269     3438     0.74     0.00      342       73     0.04     0.00      266       20        0      286
   15 132    56    11280     3750     0.76     0.00      354       76     0.04     0.00      280       21        0      301
   15 133    57    12053     4281     0.77     0.00      366       81     0.04     0.00      296       21        0      317
   15 134    58    12800     4469     0.64     0.00      379       85     0.05     0.00      312       21        0      333
   15 135    59    12459     4719     0.82     0.00      391       90     0.05     0.00      329       22        0      351
   15 136    60    11664     4594     0.82     0.00      403       94     0.05     0.00      346       22        0      368
   15 137    61    11275     4563     0.83     0.00      414       99     0.05     0.00      363       22        0      385
   15 138    62    10154     4156     0.83     0.00      424      103     0.05     0.00      378       23        0      401
   15 139    63     9294     3969     0.83     0.00      433      107     0.05     0.00      393       23        0      416
   15 140    64     9648     3844     0.30     0.00      443      111     0.05     0.00      407       23        0      430
   15 141    65     8655     3656     0.27     0.00      452      115     0.05     0.00      420       24        0      444
   15 142    66     8254     3375     0.42     0.00      460      118     0.05     0.00      433       24        0      456
   15 143    67     7581     2938     0.64     0.00      468      121     0.05     0.00      443       24        0      467
   15 144    68     6541     2625     0.52     0.00      474      123     0.05     0.00      453       24        0      477
   15 145    69     6070     2406     0.62     0.00      480      126     0.05     0.00      462       25        0      486
   15 146    70     7414     3031     0.78     0.00      488      129     0.05     0.00      473       25        0      498
   15 147    71     7850     3219     0.87     0.00      495      132     0.05     0.00      485       25        0      510
   15 148    72     7741     3188     0.83     0.00      503      135     0.05     0.00      496       26        0      522
   15 149    73     7849     3281     0.80     0.00      511      139     0.06     0.00      509       26        0      535
