*Summary of files opened during simulation

Unit  File
Num.  Variable Name
*DSSAT Cropping System Model Ver. 4.8.5.000   -release    OCT 27, 2025; 22:35:44

 Unit  Filename
  501  OPCLR
   21  FILEIO
  502  LUNMFW
  503  SIMCDE
   25  DSPRO
   22  DTACDE
  504  RUNLST
  119  OUTINFO
   11  FILEW
   96  OUTO
   10  FILEC
   39  OUTG
   40  OUTPN
  505  OUTS
   92  SEVAL
  506  FILECO2
   52  OUTWTH
  507  FILEF
   16  FILETL
  123  WARNING.OUT
   36  OUTM
  508  OUTM2
   13  FILESS
  101  SCBAL
  509  SCBAL2
   44  SoilOrg.OUT
  107  SoilNoBal.OUT
  104  SoilNBalSum.OUT
   64  N2O.OUT   
   63  GHG.OUT   
  106  SoilNiBal.OUT
   43  SoilNi.OUT
   55  Mulch.OUT
  111  SWBAL
   48  OUTWAT
   73  OUTSWL
   47  OUTT
   32  OUTET
    8  FILEA
