*N2O emissions output file

*DSSAT Cropping System Model Ver. 4.8.5.000 -release  OCT 27, 2025 22:35:44

*RUN   1        : 1                         WHAPS048 TUDU1501    1
 MODEL          : WHAPS048 - Wheat
 EXPERIMENT     : TUDU1501 WH
 DATA PATH      :
 TREATMENT  1   : 1                         WHAPS048
  
!              |------------------------------ Cumulative -----------------------------|------------------------------ Daily ----------------------------------|
!               N2Oemit  N2emit  NOemit   Denit  Nitrif   N2O-denit+nit      N2      NO N2Oemit  N2emit  NOemit   Denit  Nitrif   N2O-denit+nit      N2      NO   Denitrification (g[N]/ha) by soil depth (cm):                           Nitrification (g[N]/ha) by soil depth (cm):                             N2O flux (g[N]/ha) by soil depth (cm):                                  N2 flux (g[N]/ha) by soil depth (cm):                                   NO flux (g[N]/ha) by soil depth (cm):
!                 kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha     0-5    5-15   15-30   30-45   45-60   60-80  80-100 100-150 150-200     0-5    5-15   15-30   30-45   45-60   60-80  80-100 100-150 150-200     0-5    5-15   15-30   30-45   45-60   60-80  80-100 100-150 150-200     0-5    5-15   15-30   30-45   45-60   60-80  80-100 100-150 150-200     0-5    5-15   15-30   30-45   45-60   60-80  80-100 100-150 150-200
@YEAR DOY   DAS   N2OEC    N2EC    NOEC    NDNC    NITC   N2ODC   N2ONC   N2FLC   NOFLC  N2OGED   N2GED   NOGED    NDND   NITRD   N2ODD   N2OND   N2FLD   NOFLD   NDN1D   NDN2D   NDN3D   NDN4D   NDN5D   NDN6D   NDN7D   NDN8D   NDN9D   NIT1D   NIT2D   NIT3D   NIT4D   NIT5D   NIT6D   NIT7D   NIT8D   NIT9D   N2O1D   N2O2D   N2O3D   N2O4D   N2O5D   N2O6D   N2O7D   N2O8D   N2O9D   N2F1D   N2F2D   N2F3D   N2F4D   N2F5D   N2F6D   N2F7D   N2F8D   N2F9D   NOF1D   NOF2D   NOF3D   NOF4D   NOF5D   NOF6D   NOF7D   NOF8D   NOF9D   
   15 077     1    0.00    0.00    0.00    0.00     3.6   0.000   0.004   0.000   0.006     0.1     0.0     0.2     0.0    3551    0.00    3.55    0.00    5.96     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0    217.    378.    476.    383.    378.    367.    362.    498.    493.     0.2     0.4     0.5     0.4     0.4     0.4     0.4     0.5     0.5     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.9     1.2     1.1     0.5     0.5     0.4     0.4     0.5     0.5
   15 078     2    0.00    0.00    0.00    0.00     6.5   0.000   0.007   0.000   0.011     0.1     0.0     0.3     0.0    2966    0.00    2.97    0.00    4.75     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0    179.    310.    397.    319.    316.    306.    304.    418.    418.     0.2     0.3     0.4     0.3     0.3     0.3     0.3     0.4     0.4     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.5     1.0     0.9     0.4     0.4     0.3     0.3     0.4     0.4
   15 079     3    0.00    0.00    0.00    0.00     9.0   0.000   0.009   0.000   0.015     0.1     0.0     0.4     0.0    2460    0.00    2.46    0.00    3.92     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0    147.    253.    328.    263.    262.    253.    253.    349.    352.     0.1     0.3     0.3     0.3     0.3     0.3     0.3     0.3     0.4     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.4     0.8     0.7     0.4     0.4     0.3     0.3     0.3     0.3
   15 080     4    0.00    0.00    0.00    0.00    11.0   0.000   0.011   0.000   0.027     0.2     0.0     0.8     0.0    2042    0.00    2.04    0.00   12.18     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0    121.    207.    271.    217.    218.    210.    211.    291.    297.     0.1     0.2     0.3     0.2     0.2     0.2     0.2     0.3     0.3     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.4     2.5     2.2     1.1     1.1     0.8     0.8     1.0     1.0
   15 081     5    0.00    0.00    0.00    0.00    12.7   0.000   0.013   0.000   0.035     0.2     0.0     1.0     0.0    1709    0.00    1.71    0.00    8.25     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0    101.    171.    226.    181.    182.    175.    177.    245.    252.     0.1     0.2     0.2     0.2     0.2     0.2     0.2     0.2     0.3     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.9     1.7     1.5     0.8     0.8     0.6     0.6     0.7     0.7
   15 082     6    0.00    0.00    0.00    0.00    14.1   0.000   0.014   0.000   0.041     0.2     0.0     1.2     0.0    1408    0.00    1.41    0.00    5.51     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     82.    139.    185.    148.    150.    144.    146.    203.    211.     0.1     0.1     0.2     0.1     0.2     0.1     0.1     0.2     0.2     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.6     1.1     1.0     0.5     0.5     0.4     0.4     0.5     0.5
   15 083     7    0.00    0.00    0.01    0.00    15.4   0.000   0.015   0.000   0.044     0.3     0.0     1.4     0.0    1219    0.00    1.22    0.00    3.88     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     71.    120.    160.    128.    130.    124.    127.    175.    183.     0.1     0.1     0.2     0.1     0.1     0.1     0.1     0.2     0.2     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.4     0.8     0.7     0.4     0.4     0.3     0.3     0.3     0.3
   15 084     8    0.00    0.00    0.01    0.00    16.5   0.000   0.016   0.000   0.047     0.3     0.0     1.5     0.0    1123    0.00    1.12    0.00    2.93     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     67.    112.    149.    119.    120.    114.    116.    159.    166.     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.2     0.2     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.4     0.6     0.5     0.3     0.3     0.2     0.2     0.2     0.3
   15 085     9    0.00    0.00    0.01    0.00    17.6   0.000   0.018   0.000   0.050     0.3     0.0     1.6     0.0    1073    0.00    1.07    0.00    2.31     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     65.    110.    145.    114.    116.    109.    111.    149.    154.     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.2     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.3     0.5     0.4     0.2     0.2     0.2     0.2     0.2     0.2
   15 086    10    0.00    0.00    0.01    0.00    18.5   0.000   0.019   0.000   0.051     0.3     0.0     1.6     0.0     983    0.00    0.98    0.00    1.73     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     61.    102.    134.    105.    106.    100.    101.    135.    140.     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.2     0.4     0.3     0.2     0.2     0.1     0.1     0.1     0.1
   15 087    11    0.00    0.00    0.01    0.00    19.5   0.000   0.019   0.000   0.053     0.4     0.0     1.6     0.0     927    0.00    0.93    0.00    1.52     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     59.     98.    128.    100.    101.     94.     95.    125.    129.     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.2     0.3     0.3     0.1     0.1     0.1     0.1     0.1     0.1
   15 088    12    0.00    0.00    0.01    0.00    20.3   0.000   0.020   0.000   0.054     0.4     0.0     1.7     0.0     878    0.00    0.88    0.00    1.46     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     57.     94.    123.     95.     96.     88.     89.    117.    120.     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.2     0.3     0.3     0.1     0.1     0.1     0.1     0.1     0.1
   15 089    13    0.00    0.00    0.02    0.00    21.2   0.000   0.021   0.000   0.056     0.4     0.0     1.7     0.0     825    0.00    0.83    0.00    1.39     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     53.     89.    117.     90.     91.     83.     83.    109.    111.     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.2     0.3     0.3     0.1     0.1     0.1     0.1     0.1     0.1
   15 090    14    0.00    0.00    0.02    0.00    21.9   0.000   0.022   0.000   0.057     0.4     0.0     1.4     0.0     722    0.00    0.72    0.00    1.15     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     47.     77.    102.     79.     79.     72.     73.     95.     98.     0.0     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.3     0.2     0.1     0.1     0.1     0.1     0.1     0.1
   15 091    15    0.00    0.00    0.02    0.00    22.5   0.000   0.023   0.000   0.058     0.3     0.0     1.1     0.0     657    0.00    0.66    0.00    0.97     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     36.     69.     95.     73.     74.     67.     67.     87.     90.     0.0     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.2     0.2     0.1     0.1     0.1     0.1     0.1     0.1
   15 092    16    0.00    0.00    0.02    0.00    23.1   0.000   0.023   0.000   0.059     0.3     0.0     0.9     0.0     557    0.00    0.56    0.00    0.76     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     28.     57.     74.     63.     64.     58.     59.     76.     79.     0.0     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.2     0.1     0.1     0.1     0.1     0.1     0.1
