*Soil Carbon Balance Summary

*DSSAT Cropping System Model Ver. 4.8.5.000 -release  OCT 27, 2025 22:35:44
!                             <----------------- Initial State Variables ----------------><------------------ Final State Variables -----------------><----------- Added ----------><---------------- Lost ---------------->
!                             <-------- SOM-C -------><-------- FOM-C -------><-----CH4--><-------- SOM-C -------><-------- FOM-C -------><-----CH4--><---OM---><Senesced><-HarvRes><----------------- GHG ----------------><--Balance->
!                                     Surf        Soil        Surf        Soil     Storage        Surf        Soil        Surf        Soil     Storage 
@Run FILEX               TN CR       SC0Di      SOMCTi       LC0Di       LCTDi     CH4STDi        SC0D       SOMCT        LC0D        LCTD      CH4STD      OMAC     SENCC      HRCH     CO2EC     CH4EC    CH4LCC    CH4COC      CUMBAL
   1 TUDU1501.WHX         1 WH        0.00   263495.50        0.00      880.00        0.00        0.00   262952.06        0.00      272.01        0.00      0.00      0.00      0.00   1151.45      0.00      0.00      0.00      0.0142
   2 TUDU1501.WHX         2 WH        0.00   263495.50        0.00      880.00        0.00        0.00   262953.00        0.00      272.15        0.00      0.00      0.00      0.00   1150.36      0.00      0.00      0.00      0.0151
   3 TUDU1501.WHX         3 WH        0.00   263495.50        0.00      880.00        0.00        0.00   262897.78        0.00      253.93        0.00      0.00      0.00      0.00   1223.80      0.00      0.00      0.00      0.0143
   4 TUDU1501.WHX         4 WH        0.00   263495.50        0.00      880.00        0.00        0.00   262952.66        0.00      272.13        0.00      0.00      0.00      0.00   1150.68      0.00      0.00      0.00     -0.0431
   5 TUDU1501.WHX         5 WH        0.00   263495.50        0.00      880.00        0.00        0.00   262958.78        0.00      272.15        0.00      0.00      0.00      0.00   1144.58      0.00      0.00      0.00      0.0164
   6 TUDU1501.WHX         6 WH        0.00   263495.50        0.00      880.00        0.00        0.00   262951.97        0.00      272.07        0.00      0.00      0.00      0.00   1151.47      0.00      0.00      0.00      0.0010
   7 TUDU1501.WHX         7 WH        0.00   263495.50        0.00      880.00        0.00        0.00   262958.09        0.00      272.60        0.00      0.00      0.00      0.00   1144.80      0.00      0.00      0.00     -0.0102
   8 TUDU1501.WHX         8 WH        0.00   263495.50        0.00      880.00        0.00        0.00   262961.62        0.00      273.40        0.00      0.00      0.00      0.00   1140.48      0.00      0.00      0.00      0.0125
   9 TUDU1501.WHX         9 WH        0.00   263495.50        0.00      880.00        0.00        0.00   262965.84        0.00      274.81        0.00      0.00      0.00      0.00   1134.83      0.00      0.00      0.00     -0.0111
  10 TUDU1501.WHX        10 WH        0.00   263495.50        0.00      880.00        0.00        0.00   262897.88        0.00      253.97        0.00      0.00      0.00      0.00   1223.66      0.00      0.00      0.00      0.0087
  11 TUDU1501.WHX        11 WH        0.00   263495.50        0.00      880.00        0.00        0.00   262965.31        0.00      274.61        0.00      0.00      0.00      0.00   1135.58      0.00      0.00      0.00     -0.0091
  12 TUDU1501.WHX        12 WH        0.00   263495.50        0.00      880.00        0.00        0.00   262965.41        0.00      274.60        0.00      0.00      0.00      0.00   1135.49      0.00      0.00      0.00     -0.0063
  13 TUDU1501.WHX        13 WH        0.00   263495.50        0.00      880.00        0.00        0.00   262961.22        0.00      273.27        0.00      0.00      0.00      0.00   1140.99      0.00      0.00      0.00     -0.0149
  14 TUDU1501.WHX        14 WH        0.00   263495.50        0.00      880.00        0.00        0.00   262958.88        0.00      272.18        0.00      0.00      0.00      0.00   1144.42      0.00      0.00      0.00     -0.0185
  15 TUDU1501.WHX        15 WH        0.00   263495.50        0.00      880.00        0.00        0.00   262889.00        0.00      250.65        0.00      0.00      0.00      0.00   1235.87      0.00      0.00      0.00      0.0258
