
*SOIL N BALANCE - CENTURY ROUTINES

*DSSAT Cropping System Model Ver. 4.8.5.000 -release  OCT 27, 2025 22:35:44

!                              |--------------- Initial N State Variables ----------------|----------------- Final N State Variables -----------------|------------- N Additions -------------|---------------- N Subtractions -----------------|--Mineralization---|----- Seasonal Balance -----|
!                              |----------------- Organic ----------------------|         |------------------ Organic ----------------------|         |  Harvest   Applied                    |              Tile-     Plant     N gas     Flood|   Miner-    Immob-|                            |
!                              | Surface      SOM1      SOM2      SOM3    Litter     Inorg|  Surface      SOM1      SOM2      SOM3    Litter     Inorg|  Residue   Residue  Fertiliz   Senesed|  Leached   drained    Uptake    Losses    Losses|   alized    ilized|Inorganic   Organic   Overall
@Run FILEX               TN CR     SN0Di    S1NTDi    S2NTDi    S3NTDi     LNTDi     NIADi      SN0D     S1NTD     S2NTD     S3NTD      LNTD      NIAD      HRNH     RESNC      NICM     SNNTC      NLCM      TDFC      NUCM     NGasC      RNRO      NMNC      NIMC    InNBal   OrgNBal     SNBAL
   1 TUDU1501.WHX         1 WH      0.00      0.00  15342.15      0.00     14.00     86.50      0.00      0.00  15306.56      0.00     10.77     58.44      0.00      0.00    120.00      0.00      4.89      0.00    160.23     21.77      0.00     39.39      0.58     -0.00      0.00     -0.00
   2 TUDU1501.WHX         2 WH      0.00      0.00  15342.15      0.00     14.00     86.50      0.00      0.00  15306.61      0.00     10.77     75.00      0.00      0.00    120.00      0.00      4.79      0.00    164.82      0.65      0.00     39.34      0.58      0.00     -0.00     -0.00
   3 TUDU1501.WHX         3 WH      0.00      0.00  15342.15      0.00     14.00     86.50      0.00      0.00  15303.68      0.00     10.23     73.17      0.00      0.00     40.00      0.00      8.43      0.00     86.04      1.10      0.00     42.79      0.55      0.00      0.00      0.00
   4 TUDU1501.WHX         4 WH      0.00      0.00  15342.15      0.00     14.00     86.50      0.00      0.00  15306.59      0.00     10.77     74.55      0.00      0.00    120.00      0.00      4.83      0.00    163.83      2.08      0.00     39.35      0.58      0.00     -0.00     -0.00
   5 TUDU1501.WHX         5 WH      0.00      0.00  15342.15      0.00     14.00     86.50      0.00      0.00  15306.92      0.00     10.77     48.19      0.00      0.00    120.00      0.00      4.09      0.00    190.80      1.89      0.00     39.03      0.58     -0.00     -0.00     -0.00
   6 TUDU1501.WHX         6 WH      0.00      0.00  15342.15      0.00     14.00     86.50      0.00      0.00  15306.55      0.00     10.77     70.56      0.00      0.00    120.00      0.00      4.89      0.00    160.99      8.89      0.00     39.40      0.58      0.00     -0.00     -0.00
   7 TUDU1501.WHX         7 WH      0.00      0.00  15342.15      0.00     14.00     86.50      0.00      0.00  15306.89      0.00     10.78     56.55      0.00      0.00    120.00      0.00      4.18      0.00    182.16      2.09      0.00     39.05      0.58     -0.00     -0.00     -0.00
   8 TUDU1501.WHX         8 WH      0.00      0.00  15342.15      0.00     14.00     86.50      0.00      0.00  15307.07      0.00     10.80     69.47      0.00      0.00    180.00      0.00      3.84      0.00    206.91     24.55      0.00     38.85      0.58      0.00     -0.00     -0.00
   9 TUDU1501.WHX         9 WH      0.00      0.00  15342.15      0.00     14.00     86.50      0.00      0.00  15307.30      0.00     10.84     83.32      0.00      0.00    180.00      0.00      3.81      0.00    216.21      1.18      0.00     38.58      0.58     -0.00     -0.00     -0.00
  10 TUDU1501.WHX        10 WH      0.00      0.00  15342.15      0.00     14.00     86.50      0.00      0.00  15303.68      0.00     10.23     92.81      0.00      0.00     60.00      0.00      8.43      0.00     86.29      1.21      0.00     42.79      0.55     -0.00      0.00     -0.00
  11 TUDU1501.WHX        11 WH      0.00      0.00  15342.15      0.00     14.00     86.50      0.00      0.00  15307.27      0.00     10.83     82.74      0.00      0.00    180.00      0.00      3.81      0.00    215.49      2.51      0.00     38.61      0.58     -0.00     -0.00     -0.00
  12 TUDU1501.WHX        12 WH      0.00      0.00  15342.15      0.00     14.00     86.50      0.00      0.00  15307.28      0.00     10.83     82.57      0.00      0.00    180.00      0.00      3.81      0.00    215.20      2.96      0.00     38.61      0.58      0.00     -0.00     -0.00
  13 TUDU1501.WHX        13 WH      0.00      0.00  15342.15      0.00     14.00     86.50      0.00      0.00  15307.05      0.00     10.80     79.18      0.00      0.00    180.00      0.00      3.84      0.00    205.89     15.89      0.00     38.88      0.58     -0.00     -0.00     -0.00
  14 TUDU1501.WHX        14 WH      0.00      0.00  15342.15      0.00     14.00     86.50      0.00      0.00  15306.89      0.00     10.77     87.74      0.00      0.00    180.00      0.00      4.09      0.00    210.73      2.42      0.00     39.06      0.58     -0.00     -0.00     -0.00
  15 TUDU1501.WHX        15 WH      0.00      0.00  15342.15      0.00     14.00     86.50      0.00      0.00  15303.25      0.00     10.12     48.86      0.00      0.00      0.00      0.00      8.43      0.00     71.76      0.21      0.00     43.32      0.55      0.00      0.00      0.00
