*Soil Inorganic Nitrogen daily output file

*DSSAT Cropping System Model Ver. 4.8.5.000 -release  OCT 27, 2025 22:35:44

*RUN   1        : 1                         WHAPS048 TUDU1501    1
 MODEL          : WHAPS048 - Wheat
 EXPERIMENT     : TUDU1501 WH
 DATA PATH      :
 TREATMENT  1   : 1                         WHAPS048
  
!                                                                                                                                      NO3 (ppm) at soil dep. (cm):                                            NH4 (ppm) at soil dep. (cm):                                            Total Inorganic N @dep(ppm):
!                                                                                                                                       0-5    5-15   15-30   30-45   45-60   60-80  80-100 100-150 150-200     0-5    5-15   15-30   30-45   45-60   60-80  80-100 100-150 150-200     0-5    5-15   15-30   30-45   45-60   60-80  80-100 100-150 150-200
@YEAR DOY   DAS  NAPC  NI#M    NIAD    NITD    NHTD   NURTD    NMNC    NITC    NDNC    NIMC    AMLC   NNMNC    NUCM    NLCC    TDNC    NI1D    NI2D    NI3D    NI4D    NI5D    NI6D    NI7D    NI8D    NI9D    NH1D    NH2D    NH3D    NH4D    NH5D    NH6D    NH7D    NH8D    NH9D    NT1D    NT2D    NT3D    NT4D    NT5D    NT6D    NT7D    NT8D    NT9D    
   15 076     0     0     0    86.5    57.7    28.8     0.0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    6.00     5.0     4.0    3.00    3.00    2.00    2.00    1.00    1.00    3.00    2.50    2.00    1.50    1.50    1.00    1.00    0.50    0.50    9.00    7.50    6.00    4.50    4.50    3.00    3.00    1.50    1.50
   15 077     1     0     0    86.5    61.2    25.2     0.0    0.05    3.55    0.00    0.09    0.00   -0.04    0.00    0.00    0.00    6.33     5.3     4.2    3.18    3.18    2.13    2.12    1.07    1.07    2.62    2.17    1.76    1.31    1.32    0.87    0.88    0.44    0.44    8.96    7.46    6.00    4.50    4.50    3.00    3.00    1.50    1.50
   15 078     2     0     0    86.4    64.2    22.3     0.0    0.10    6.52    0.00    0.16    0.00   -0.06    0.00    0.00    0.00    6.70     5.5     4.4    3.33    3.33    2.23    2.23    1.12    1.12    2.32    1.90    1.56    1.16    1.17    0.77    0.77    0.38    0.39    9.01    7.40    5.99    4.49    4.50    3.00    3.00    1.50    1.51
   15 079     3     0     0    86.4    66.6    19.8     0.0    0.14    8.98    0.00    0.21    0.00   -0.07    0.00    0.00    0.00    7.02     5.7     4.6    3.46    3.46    2.32    2.32    1.17    1.17    2.07    1.69    1.39    1.03    1.04    0.68    0.69    0.34    0.34    9.09    7.34    5.98    4.49    4.50    3.00    3.00    1.51    1.51
   15 080     4     0     0    86.4    68.7    17.8     0.0    0.18   11.02    0.00    0.24    0.00   -0.06    0.00    0.00    0.00    7.30     5.8     4.7    3.56    3.56    2.39    2.39    1.21    1.21    1.87    1.51    1.26    0.93    0.94    0.61    0.62    0.30    0.31    9.17    7.29    5.97    4.49    4.50    3.00    3.00    1.51    1.51
   15 081     5     0     0    86.4    70.4    16.1     0.0    0.20   12.73    0.00    0.26    0.00   -0.05    0.00    0.00    0.00    7.55     5.9     4.8    3.65    3.64    2.45    2.45    1.24    1.24    1.71    1.37    1.14    0.84    0.85    0.55    0.56    0.27    0.27    9.26    7.25    5.96    4.49    4.49    3.00    3.00    1.51    1.51
   15 082     6     0     0    86.4    71.8    14.7     0.0    0.21   14.14    0.00    0.26    0.00   -0.04    0.00    0.00    0.00    7.75     6.0     4.9    3.72    3.72    2.50    2.50    1.26    1.27    1.58    1.27    1.05    0.77    0.78    0.50    0.51    0.24    0.25    9.33    7.22    5.96    4.49    4.49    3.00    3.00    1.51    1.51
   15 083     7     0     0    86.4    73.0    13.4     0.0    0.22   15.36    0.00    0.26    0.00   -0.04    0.00    0.00    0.00    7.96     6.0     5.0    3.78    3.78    2.54    2.54    1.29    1.29    1.47    1.18    0.97    0.71    0.72    0.46    0.46    0.22    0.22    9.43    7.18    5.95    4.48    4.49    3.00    3.00    1.51    1.51
   15 084     8     0     0    86.4    74.1    12.3     0.0    0.22   16.48    0.00    0.26    0.00   -0.04    0.00    0.00    0.00    8.16     6.1     5.0    3.83    3.83    2.58    2.58    1.31    1.31    1.37    1.09    0.90    0.65    0.66    0.42    0.42    0.20    0.20    9.53    7.15    5.95    4.48    4.49    3.00    3.00    1.51    1.51
   15 085     9     0     0    86.4    75.2    11.3     0.0    0.23   17.55    0.00    0.26    0.00   -0.03    0.00    0.00    0.00    8.37     6.1     5.1    3.88    3.89    2.62    2.62    1.33    1.33    1.27    1.01    0.83    0.60    0.60    0.38    0.38    0.18    0.18    9.64    7.11    5.94    4.48    4.49    3.00    3.00    1.51    1.52
   15 086    10     0     0    86.4    76.1    10.3     0.0    0.24   18.53    0.00    0.26    0.00   -0.02    0.00    0.00    0.00    8.53     6.2     5.2    3.93    3.94    2.65    2.65    1.35    1.35    1.17    0.93    0.76    0.55    0.55    0.35    0.35    0.16    0.16    9.70    7.09    5.93    4.48    4.49    3.00    3.00    1.51    1.52
   15 087    11     0     0    86.4    77.1     9.4     0.0    0.26   19.46    0.00    0.27    0.00   -0.01    0.00    0.00    0.00    8.73     6.2     5.2    3.98    3.98    2.68    2.69    1.36    1.37    1.08    0.85    0.70    0.50    0.50    0.31    0.32    0.15    0.15    9.81    7.05    5.93    4.48    4.49    3.00    3.00    1.51    1.52
