*SOIL WATER DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.5.000 -release  OCT 27, 2025 22:35:44

*RUN   1        : 1                         WHAPS048 TUDU1501    1
 MODEL          : WHAPS048 - Wheat
 EXPERIMENT     : TUDU1501 WH
 DATA PATH      :
 TREATMENT  1   : 1                         WHAPS048
  
!                                                                                                                                   Soil water content (mm3/mm3) by soil depth (cm):
!                                                                                                                                   0-5    5-15   15-30   30-45   45-60   60-80  80-100 100-150 150-200
@YEAR DOY   DAS    SWTD    SWXD    ROFC    DRNC    PREC    IR#C    IRRC   LATFC    DTWT    MWTD    TDFD    TDFC    ROFD    ROSD    SW1D    SW2D    SW3D    SW4D    SW5D    SW6D    SW7D    SW8D    SW9D
   15 076     0     530     255       0       0       0       0       0       0     200    0.00     0.0     0.0    0.00    0.00   0.236   0.247   0.262   0.276   0.276   0.274   0.274   0.262   0.262
   15 077     1     529     254       0       0       0       0       0       0     200    0.00     0.0     0.0    0.00    0.00   0.229   0.246   0.262   0.276   0.276   0.274   0.274   0.262   0.262
   15 078     2     528     253       0       0       0       0       0       0     200    0.00     0.0     0.0    0.00    0.00   0.209   0.245   0.261   0.276   0.276   0.274   0.274   0.262   0.262
   15 079     3     527     252       0       0       0       0       0       0     200    0.00     0.0     0.0    0.00    0.00   0.192   0.243   0.261   0.276   0.276   0.274   0.274   0.262   0.262
   15 080     4     528     252       0       0       2       0       0       0     200    0.00     0.0     0.0    0.00    0.00   0.216   0.242   0.261   0.276   0.276   0.274   0.274   0.262   0.262
   15 081     5     527     252       0       0       2       0       0       0     200    0.00     0.0     0.0    0.00    0.00   0.201   0.241   0.261   0.276   0.276   0.274   0.274   0.262   0.262
   15 082     6     526     251       0       0       2       0       0       0     200    0.00     0.0     0.0    0.00    0.00   0.185   0.240   0.260   0.275   0.276   0.274   0.274   0.262   0.262
   15 083     7     525     250       0       0       2       0       0       0     200    0.00     0.0     0.0    0.00    0.00   0.170   0.239   0.260   0.275   0.276   0.274   0.274   0.262   0.262
   15 084     8     524     249       0       0       2       0       0       0     200    0.00     0.0     0.0    0.00    0.00   0.156   0.237   0.260   0.275   0.276   0.274   0.274   0.262   0.262
   15 085     9     524     248       0       0       2       0       0       0     200    0.00     0.0     0.0    0.00    0.00   0.148   0.237   0.260   0.275   0.276   0.274   0.274   0.262   0.262
