Phenlogy and Growth	Flag
BA-------------------
BA_P1V				P
BA_P1D				P
BA_P5				P
BA_G1				G
BA_G2				G
BA_G3				G
BA_PHINT			-
MZ-------------------	
MZ_P1				P
MZ_P2				P
MZ_P5				P
MZ_G2				G
MZ_G3				G
MZ_PHINT			-
SW-------------------		
SW_P1				P
SW_P2				-
SW_P5				P
SW_G2				G
SW_G3				G
SW_PHINT			-
ML-------------------
ML_P1				P
ML_P20				P
ML_P2R				P
ML_P5				P
ML_G1				G
ML_G4				G
ML_PHINT			-
RI-------------------
RI_P1				P
RI_P2R				P
RI_P5				P
RI_P20				P
RI_G1				G
RI_G2				G
RI_G3				G
RI_G4				G
RI_PHINT			-
SG-------------------
SG_P1				P
SG_P2				-
SG_P20				P
SG_P2R				P
SG_PANTH			-
SG_P3				P
SG_P4				P
SG_P5				P
SG_PHINT			-
SG_G1				G
SG_G2				G
SG_PBASE			-
SG_PSAT				-
WH-------------------	
WH_P1V				P
WH_P1D				P
WH_P5				P
WH_G1				G
WH_G2				G
WH_G3				G
WH_PHINT			-
GB-------------------
GB_CSDL				P
GB_PPSEN			P
GB_EM-FL			P
GB_FL-SH			-
GB_FL-SD			P
GB_SD-PM			P
GB_FL-LF			-
GB_LFMAX			G
GB_SLAVR			G
GB_SIZLF			G
GB_XFRT				-
GB_WTPSD			G
GB_SFDUR			G
GB_SDPDV			G
GB_PODUR			-
GB_THRSH			-
GB_SDPRO			-
GB_SDLIP			-
SB-------------------	
SB_CSDL				P
SB_PPSEN			P
SB_EM-FL			P
SB_FL-SH			-
SB_FL-SD			P
SB_SD-PM			P
SB_FL-LF			-
SB_LFMAX			G
SB_SLAVR			G
SB_SIZLF			G
SB_XFRT				-
SB_WTPSD			G
SB_SFDUR			G
SB_SDPDV			G
SB_PODUR			-
SB_THRSH			-
SB_SDPRO			-
SB_SDLIP			-
CO-------------------
CO_CSDL	 			-
CO_PPSEN			-
CO_EM-FL			P
CO_FL-SH			-
CO_FL-SD			P
CO_SD-PM			P
