$PLANT EVALUATION
  
*EVALUATION : TUDU1501WH  -99                        CSCER048

@RUN EXCODE      TRNO RN CR EDAPS EDAPM DRAPS DRAPM TSAPS TSAPM ADAPS ADAPM MDAPS MDAPM HWAMS HWAMM HWUMS HWUMM    H#AMS H#AMM    H#GMS H#GMM LAIXS LAIXM L#SMS L#SMM T#AMS T#AMM CWAMS CWAMM VWAMS VWAMM HIAMS HIAMM HN%MS HN%MM VN%MS VN%MM CNAMS CNAMM HNAMS HNAMM HINMS HINMM
   1 TUDU1501WH     1  0 WH     7   -99    48   -99    62   -99   101   -99   144   -99  6392  6135 0.039 -99.0    16390   -99     27.2 -99.0   3.3 -99.0   8.2 -99.0   602   -99 10690   -99  4297   -99 0.598 -99.0   0.9 -99.0 0.358 -99.0    72   -99    57   -99 0.787 -99.0
   2 TUDU1501WH     2  0 WH     7   -99    48   -99    62   -99   101   -99   144   -99  6571  7361 0.039 -99.0    16849   -99     28.0 -99.0   3.4 -99.0   8.2 -99.0   602   -99 10883   -99  4312   -99 0.604 -99.0   0.9 -99.0 0.365 -99.0    75   -99    60   -99 0.792 -99.0
   3 TUDU1501WH     3  0 WH     7   -99    48   -99    62   -99   101   -99   144   -99  2414  6322 0.039 -99.0     6189   -99     12.9 -99.0   1.2 -99.0   8.2 -99.0   480   -99  5528   -99  3115   -99 0.437 -99.0   1.2 -99.0 0.190 -99.0    35   -99    29   -99 0.832 -99.0
   4 TUDU1501WH     4  0 WH     7   -99    48   -99    62   -99   101   -99   144   -99  6545  6934 0.039 -99.0    16782   -99     27.9 -99.0   3.4 -99.0   8.2 -99.0   602   -99 10849   -99  4304   -99 0.603 -99.0   0.9 -99.0 0.364 -99.0    75   -99    59   -99 0.791 -99.0
   5 TUDU1501WH     5  0 WH     7   -99    48   -99    62   -99   101   -99   144   -99  7010  7360 0.039 -99.0    17974   -99     29.9 -99.0   3.7 -99.0   8.2 -99.0   602   -99 11352   -99  4342   -99 0.618 -99.0   0.9 -99.0 0.392 -99.0    78   -99    61   -99 0.782 -99.0
   6 TUDU1501WH     6  0 WH     7   -99    48   -99    62   -99   101   -99   144   -99  6443  6886 0.039 -99.0    16520   -99     27.4 -99.0   3.4 -99.0   8.2 -99.0   602   -99 10728   -99  4285   -99 0.601 -99.0   0.9 -99.0 0.359 -99.0    73   -99    58   -99 0.790 -99.0
   7 TUDU1501WH     7  0 WH     7   -99    48   -99    62   -99   101   -99   144   -99  7045  7711 0.039 -99.0    18065   -99     30.0 -99.0   3.7 -99.0   8.2 -99.0   602   -99 11476   -99  4431   -99 0.614 -99.0   0.9 -99.0 0.385 -99.0    81   -99    64   -99 0.790 -99.0
   8 TUDU1501WH     8  0 WH     7   -99    48   -99    62   -99   101   -99   144   -99  7122  7727 0.039 -99.0    18261   -99     30.3 -99.0   3.8 -99.0   8.2 -99.0   602   -99 11475   -99  4354   -99 0.621 -99.0   0.9 -99.0 0.400 -99.0    83   -99    66   -99 0.792 -99.0
   9 TUDU1501WH     9  0 WH     7   -99    48   -99    62   -99   101   -99   144   -99  7241  8208 0.039 -99.0    18566   -99     30.8 -99.0   3.8 -99.0   8.2 -99.0   602   -99 11635   -99  4395   -99 0.622 -99.0   0.9 -99.0 0.401 -99.0    86   -99    68   -99 0.794 -99.0
  10 TUDU1501WH    10  0 WH     7   -99    48   -99    62   -99   101   -99   144   -99  2414  6569 0.039 -99.0     6189   -99     12.9 -99.0   1.2 -99.0   8.2 -99.0   480   -99  5558   -99  3144   -99 0.434 -99.0   1.2 -99.0 0.188 -99.0    36   -99    30   -99 0.835 -99.0
  11 TUDU1501WH    11  0 WH     7   -99    48   -99    62   -99   101   -99   144   -99  7245  8142 0.039 -99.0    18576   -99     30.9 -99.0   3.8 -99.0   8.2 -99.0   602   -99 11635   -99  4390   -99 0.623 -99.0   0.9 -99.0 0.402 -99.0    85   -99    68   -99 0.794 -99.0
  12 TUDU1501WH    12  0 WH     7   -99    48   -99    62   -99   101   -99   144   -99  7200  8136 0.039 -99.0    18461   -99     30.7 -99.0   3.8 -99.0   8.2 -99.0   602   -99 11564   -99  4364   -99 0.623 -99.0   0.9 -99.0 0.403 -99.0    85   -99    68   -99 0.794 -99.0
  13 TUDU1501WH    13  0 WH     7   -99    48   -99    62   -99   101   -99   144   -99  7168  7992 0.039 -99.0    18380   -99     30.5 -99.0   3.8 -99.0   8.2 -99.0   602   -99 11555   -99  4387   -99 0.620 -99.0   0.9 -99.0 0.397 -99.0    84   -99    67   -99 0.793 -99.0
  14 TUDU1501WH    14  0 WH     7   -99    48   -99    62   -99   101   -99   144   -99  7057  7907 0.039 -99.0    18094   -99     30.1 -99.0   3.7 -99.0   8.2 -99.0   602   -99 11403   -99  4347   -99 0.619 -99.0   0.9 -99.0 0.393 -99.0    84   -99    66   -99 0.795 -99.0
  15 TUDU1501WH    15  0 WH     7   -99    48   -99    62   -99   101   -99   144   -99  2414  3602 0.039 -99.0     6189   -99     12.9 -99.0   1.2 -99.0   8.2 -99.0   480   -99  4811   -99  2398   -99 0.502 -99.0   0.9 -99.0 0.246 -99.0    27   -99    21   -99 0.778 -99.0
