*GHG emissions output file

*DSSAT Cropping System Model Ver. 4.8.5.000 -release  OCT 24, 2025 14:14:59

*RUN   1        : 1                         CSCER048 TUDU1501    1
 MODEL          : CSCER048 - Wheat
 EXPERIMENT     : TUDU1501 WH
 DATA PATH      :
 TREATMENT  1   : 1                         CSCER048
  
!               |---------- Daily (g/ha) ----------|------- Cumulative (kg/ha) --------|---- Cum CO2-equiv kg[CO2eq]/ha ---|
!               Soil CO2  Net CO2      N2O      CH4 Soil CO2  Net CO2      N2O      CH4  Net CO2      N2O      CH4    Total
!                g[C]/ha  g[C]/ha  g[N]/ha  g[C]/ha kg[C]/ha kg[C]/ha kg[N]/ha kg[C]/ha    CO2eq    CO2eq    CO2eq    CO2eq
@YEAR DOY   DAS   CO2GED   CO2END   N2OGED   CH4GED    CO2EC   CO2ENC    N2OEC    CH4EC    CCEQC    NCEQC    MCEQC    TCEQC
   15 077     1    11159     1531     0.02     0.00       11        2     0.00     0.00        6        0        0        6
   15 078     2     9743     1438     0.03     0.00       21        3     0.00     0.00       11        0        0       11
   15 079     3     7775     1219     0.05     0.00       29        4     0.00     0.00       15        0        0       15
   15 080     4     5561      938     0.06     0.00       34        5     0.00     0.00       19        0        0       19
   15 081     5     3593      594     0.07     0.00       38        6     0.00     0.00       21        0        0       21
   15 082     6     1161      250     0.08     0.00       39        6     0.00     0.00       22        0        0       22
   15 083     7      107       63     0.08     0.00       39        6     0.00     0.00       22        0        0       22
   15 084     8      114       31     0.09     0.00       39        6     0.00     0.00       22        0        0       22
   15 085     9      840      219     0.10     0.00       40        6     0.00     0.00       23        0        0       23
   15 086    10     1301      281     0.10     0.00       41        7     0.00     0.00       24        0        0       24
   15 087    11     2105      406     0.11     0.00       43        7     0.00     0.00       26        0        0       26
   15 088    12     3321      625     0.11     0.00       47        8     0.00     0.00       28        0        0       28
   15 089    13     4401      844     0.12     0.00       51        8     0.00     0.00       31        0        0       31
   15 090    14     3857      625     0.08     0.00       55        9     0.00     0.00       33        1        0       34
   15 091    15     4268      750     0.07     0.00       59       10     0.00     0.00       36        1        0       37
   15 092    16     3082      563     0.06     0.00       62       10     0.00     0.00       38        1        0       39
   15 093    17     1889      406     0.05     0.00       64       11     0.00     0.00       40        1        0       40
   15 094    18      139       31     0.12     0.00       64       11     0.00     0.00       40        1        0       40
   15 095    19       28       31     0.07     0.00       64       11     0.00     0.00       40        1        0       40
   15 096    20        0        0     0.14     0.00       64       11     0.00     0.00       40        1        0       41
   15 097    21        0        0     0.17     0.00       64       11     0.00     0.00       40        1        0       41
   15 098    22        0        0     0.17     0.00       64       11     0.00     0.00       40        1        0       41
   15 099    23        0        0     0.43     0.00       64       11     0.00     0.00       40        1        0       41
   15 100    24       68       31     0.73     0.00       65       11     0.00     0.00       40        1        0       41
   15 101    25     2676      531     1.08     0.00       67       11     0.00     0.00       42        2        0       44
   15 102    26     5803     1156     1.45     0.00       73       13     0.01     0.00       46        3        0       49
   15 103    27     8617     1813     1.80     0.00       82       14     0.01     0.00       53        3        0       56
   15 104    28     9981     2188     2.04     0.00       92       17     0.01     0.00       61        4        0       65
   15 105    29    10258     2375     2.15     0.00      102       19     0.01     0.00       70        5        0       75
   15 106    30    10854     2625     2.18     0.00      113       22     0.01     0.00       79        6        0       86
   15 107    31    11689     3031     2.15     0.00      124       25     0.02     0.00       90        7        0       98
   15 108    32    14063     2500     0.68     0.00      138       27     0.02     0.00       99        8        0      107
   15 109    33    12349     2000     1.57     0.00      151       29     0.02     0.00      107        9        0      115
   15 110    34    10267     1656     1.99     0.00      161       31     0.02     0.00      113        9        0      122
   15 111    35     7655     1375     1.86     0.00      169       32     0.02     0.00      118       10        0      128
   15 112    36     5647     1156     1.73     0.00      174       33     0.02     0.00      122       11        0      133
   15 113    37     5535     1188     1.62     0.00      180       34     0.03     0.00      127       12        0      138
   15 114    38     5532     1250     1.51     0.00      185       36     0.03     0.00      131       13        0      144
   15 115    39     6040     1469     1.39     0.00      191       37     0.03     0.00      136       13        0      150
   15 116    40     7017     1719     1.23     0.00      198       39     0.03     0.00      143       14        0      157
   15 117    41     8283     2063     1.12     0.00      207       41     0.03     0.00      150       14        0      165
   15 118    42    10071     2219     1.01     0.00      217       43     0.03     0.00      158       15        0      173
   15 119    43    10952     2344     0.48     0.00      228       46     0.03     0.00      167       15        0      182
   15 120    44    10485     2188     0.90     0.00      238       48     0.03     0.00      175       15        0      191
   15 121    45     9905     2188     0.85     0.00      248       50     0.03     0.00      183       16        0      199
   15 122    46     7163     1875     0.29     0.00      255       52     0.03     0.00      190       16        0      206
   15 123    47     6190     1531     0.47     0.00      262       53     0.03     0.00      196       16        0      212
   15 124    48     7379     2000     0.29     0.00      269       55     0.03     0.00      203       16        0      219
