*N2O emissions output file

*DSSAT Cropping System Model Ver. 4.8.5.000 -release  OCT 24, 2025 14:14:59

*RUN   1        : 1                         CSCER048 TUDU1501    1
 MODEL          : CSCER048 - Wheat
 EXPERIMENT     : TUDU1501 WH
 DATA PATH      :
 TREATMENT  1   : 1                         CSCER048
  
!              |------------------------------ Cumulative -----------------------------|------------------------------ Daily ----------------------------------|
!               N2Oemit  N2emit  NOemit   Denit  Nitrif   N2O-denit+nit      N2      NO N2Oemit  N2emit  NOemit   Denit  Nitrif   N2O-denit+nit      N2      NO   Denitrification (g[N]/ha) by soil depth (cm):                           Nitrification (g[N]/ha) by soil depth (cm):                             N2O flux (g[N]/ha) by soil depth (cm):                                  N2 flux (g[N]/ha) by soil depth (cm):                                   NO flux (g[N]/ha) by soil depth (cm):
!                 kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha     0-5    5-15   15-30   30-45   45-60   60-80  80-100 100-150 150-200     0-5    5-15   15-30   30-45   45-60   60-80  80-100 100-150 150-200     0-5    5-15   15-30   30-45   45-60   60-80  80-100 100-150 150-200     0-5    5-15   15-30   30-45   45-60   60-80  80-100 100-150 150-200     0-5    5-15   15-30   30-45   45-60   60-80  80-100 100-150 150-200
@YEAR DOY   DAS   N2OEC    N2EC    NOEC    NDNC    NITC   N2ODC   N2ONC   N2FLC   NOFLC  N2OGED   N2GED   NOGED    NDND   NITRD   N2ODD   N2OND   N2FLD   NOFLD   NDN1D   NDN2D   NDN3D   NDN4D   NDN5D   NDN6D   NDN7D   NDN8D   NDN9D   NIT1D   NIT2D   NIT3D   NIT4D   NIT5D   NIT6D   NIT7D   NIT8D   NIT9D   N2O1D   N2O2D   N2O3D   N2O4D   N2O5D   N2O6D   N2O7D   N2O8D   N2O9D   N2F1D   N2F2D   N2F3D   N2F4D   N2F5D   N2F6D   N2F7D   N2F8D   N2F9D   NOF1D   NOF2D   NOF3D   NOF4D   NOF5D   NOF6D   NOF7D   NOF8D   NOF9D   
   15 077     1    0.00    0.00    0.00    0.00     1.2   0.000   0.001   0.000   0.002     0.0     0.0     0.1     0.0    1177    0.00    1.18    0.00    1.94     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     74.    124.    146.    104.    103.    112.    111.    203.    200.     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.2     0.2     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.3     0.4     0.3     0.1     0.1     0.1     0.1     0.2     0.2
   15 078     2    0.00    0.00    0.00    0.00     2.2   0.000   0.002   0.000   0.003     0.0     0.0     0.1     0.0     985    0.00    0.99    0.00    1.54     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     60.    100.    121.     87.     86.     94.     94.    172.    172.     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.2     0.2     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.2     0.3     0.3     0.1     0.1     0.1     0.1     0.2     0.2
   15 079     3    0.00    0.00    0.00    0.00     3.0   0.000   0.003   0.000   0.005     0.0     0.0     0.1     0.0     816    0.00    0.82    0.00    1.26     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     48.     79.    100.     71.     71.     77.     78.    144.    147.     0.0     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.3     0.2     0.1     0.1     0.1     0.1     0.1     0.1
   15 080     4    0.00    0.00    0.00    0.00     3.7   0.000   0.004   0.000   0.009     0.1     0.0     0.3     0.0     673    0.00    0.67    0.00    3.87     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     39.     63.     81.     58.     59.     64.     65.    121.    124.     0.0     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.4     0.8     0.7     0.3     0.3     0.3     0.3     0.4     0.4
   15 081     5    0.00    0.00    0.00    0.00     4.2   0.000   0.004   0.000   0.011     0.1     0.0     0.3     0.0     560    0.00    0.56    0.00    2.60     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     32.     50.     67.     48.     49.     53.     54.    102.    106.     0.0     0.1     0.1     0.0     0.0     0.1     0.1     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.3     0.5     0.4     0.2     0.2     0.2     0.2     0.3     0.3
   15 082     6    0.00    0.00    0.00    0.00     4.7   0.000   0.005   0.000   0.013     0.1     0.0     0.4     0.0     465    0.00    0.46    0.00    1.74     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     26.     41.     55.     39.     40.     44.     45.     85.     90.     0.0     0.0     0.1     0.0     0.0     0.0     0.0     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.2     0.3     0.3     0.1     0.1     0.1     0.1     0.2     0.2
   15 083     7    0.00    0.00    0.00    0.00     5.1   0.000   0.005   0.000   0.014     0.1     0.0     0.4     0.0     397    0.00    0.40    0.00    1.21     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     22.     35.     47.     33.     34.     37.     39.     73.     78.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.2     0.2     0.1     0.1     0.1     0.1     0.1     0.1
   15 084     8    0.00    0.00    0.00    0.00     5.4   0.000   0.005   0.000   0.015     0.1     0.0     0.4     0.0     365    0.00    0.36    0.00    0.91     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     20.     32.     43.     31.     32.     34.     35.     66.     71.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.2     0.2     0.1     0.1     0.1     0.1     0.1     0.1
   15 085     9    0.00    0.00    0.00    0.00     5.8   0.000   0.006   0.000   0.016     0.1     0.0     0.5     0.0     351    0.00    0.35    0.00    0.72     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     20.     32.     43.     30.     31.     33.     34.     62.     66.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.1     0.1     0.1     0.1     0.0     0.0     0.1     0.1
   15 086    10    0.00    0.00    0.00    0.00     6.1   0.000   0.006   0.000   0.016     0.1     0.0     0.5     0.0     326    0.00    0.33    0.00    0.54     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     19.     30.     40.     28.     29.     30.     31.     57.     61.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.1     0.1     0.0     0.0     0.0     0.0     0.1     0.1
