$GROWTH ASPECTS OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.5.000 -release  OCT 24, 2025 14:14:59

*RUN   1        : 1                         CSCER048 TUDU1501    1
 MODEL          : CSCER048 - Wheat
 EXPERIMENT     : TUDU1501 WH
 DATA PATH      :
 TREATMENT  1   : 1                         CSCER048
  
@YEAR DOY   DAS   DAP TMEAN TKILL  GSTD  L#SD PARID PARUD  AWAD  LAID  SAID  CAID  TWAD SDWAD  RWAD  CWAD  LWAD  SWAD  HWAD  HIAD CHWAD  EWAD RSWAD SNWPD SNWLD SNWSD  RS%D  H#AD  HWUD  T#AD  SLAD  RDPD  PTFD  SWXD WAVRD WUPRD  WFTD  WFPD  WFGD  NFTD  NFPD  NFGD NUPRD  TFPD  TFGD VRNFD DYLFD
   15  77     0     0   7.7  -6.0  0.00  0.00  0.00  0.00   0.0  0.00 0.000  0.00   107   107     0     0     0     0     0  0.00     0     0     0     0     0     0   0.0     0     0   375   -99  0.03  0.00   3.0  99.9  1.00  0.00  0.00  0.00  0.00  0.00  0.00   0.0  0.00  0.24  1.00  0.00
   15  78     1     1   6.3  -6.0  2.65  0.00  0.00  0.00   0.0  0.00 0.000  0.00   107   107     0     0     0     0     0  0.00     0     0     0     0     0     0   0.0     0     0   375   -99  0.03  0.00   2.5  99.9  1.00  0.00  0.00  0.00  0.00  0.00  0.00   0.0  0.00  0.37  1.00  0.00
   15  79     2     2   5.4  -6.0  4.83  0.00  0.00  0.00   0.0  0.00 0.000  0.00   107   107     0     0     0     0     0  0.00     0     0     0     0     0     0   0.0     0     0   375   -99  0.03  0.00   2.1  99.9  1.00  0.00  0.00  0.00  0.00  0.00  0.00   0.0  0.00  0.46  1.00  0.00
   15  80     3     3   5.3  -6.0  5.99  0.00  0.00  0.00   0.0  0.00 0.000  0.00   107   107     0     0     0     0     0  0.00     0     0     0     0     0     0   0.0     0     0   375   -99  0.03  0.00   2.9  99.9  1.00  0.00  0.00  0.00  0.00  0.00  0.00   0.0  0.00  0.47  1.00  0.00
   15  81     4     4   4.1  -6.9  6.77  0.00  0.00  0.00   0.0  0.00 0.000  0.00   107   106     0     0     0     0     0  0.00     0     0     0     0     0     0   0.0     0     0   375   -99  0.03  0.00   3.5  99.9  1.00  0.00  0.00  0.00  0.00  0.00  0.00   0.0  0.00  0.59  0.95  0.00
   15  82     5     5   2.8  -7.8  7.21  0.00  0.00  0.00   0.0  0.00 0.000  0.00   106   106     1     0     0     0     0  0.00     0     0     0     0     0 .0000   0.0     0     0   375   -99  0.04  0.00   3.3  99.9  1.00  0.00  0.00  0.00  0.00  0.00  0.00   0.8  0.00  0.73  0.90  0.00
   15  83     6     6   6.6  -7.9  8.61  0.00  0.00  0.00   0.0  0.00 0.000  0.00   106   105     1     0     0     0     0  0.00     0     0     0     0     0 .0002   0.0     0     0   375   -99  0.05  0.00   3.5  99.9  1.00  0.00  0.00  0.00  0.00  0.00  0.00   0.4  0.00  0.34  0.85  0.00
   15  84     7     7   8.9  -7.7 10.00  0.00  0.00  0.00   0.0  0.00 0.000  0.00   106   105     2     0     0     0     0  0.00     0     0     0     0     0 .0007   0.0     0     0   375   -99  0.06  0.00   4.3  99.9  1.00  0.00  0.00  0.00  0.00  0.00  0.00   0.4  0.00  0.11  0.81  0.00
   15  85     8     8   6.3  -8.3 10.10  0.11  0.01  0.00   0.0  0.01 0.001  0.01   106   100     2     5     3     2     0  0.00     0     0     0     0     0 .0012   0.0     0     0   375   400  0.07  0.75   5.5  99.9  1.00  0.00  0.00  0.00  0.00  0.00  0.00   0.0  0.00  0.37  0.76  0.41
   15  86     9     9   6.5  -9.0 10.21  0.21  0.02  2.21   1.1  0.03 0.002  0.03   108    95     3    10     6     4     0  0.00     0     0     1     0     0 .0019   8.2     0     0   375   399  0.08  0.75   7.0  99.9  4.30  0.00  0.00  0.00  0.00  0.00  0.00   0.0  0.00  0.35  0.71  0.40
   15  87    10    10   6.4  -9.6 10.32  0.32  0.03  2.21   3.3  0.04 0.003  0.04   111    90     3    18    10     8     0  0.00     0     0     3     0     0 .0028  19.1     0     0   375   399  0.09  0.75   7.4  99.9  1.73  0.00  0.00  0.00  0.00  0.00  0.00   0.0  0.00  0.36  0.66  0.40
   15  88    11    11   9.5  -9.7 10.48  0.48  0.05  2.21   3.8  0.07 0.006  0.07   114    79     4    31    17    14     0  0.00     0     0     6     0     0 .0043  20.0     0     0   375   399  0.10  0.75   9.1  99.9  1.71  0.00  0.00  0.00  0.00  0.00  0.00   0.0  0.00  0.05  0.63  0.39
   15  89    12    12   6.7 -10.3 10.59  0.59  0.07  2.21   6.4  0.08 0.007  0.09   120    74     5    41    20    21     0  0.00     0     0    11     0     0 .0055  26.8     0     0   375   399  0.11  0.75  15.7  99.9  1.33  0.00  0.00  0.00  0.00  0.00  0.00   0.1  0.00  0.33  0.58  0.38
   15  90    13    13   7.8 -10.6 10.72  0.72  0.08  1.92   9.9  0.09 0.008  0.10   128    69     6    53    23    30     0  0.00     0     0    18     0     0 .0074  34.5     0     0   375   399  0.12  0.74  18.1  99.9  0.87  0.26  0.13  0.33  0.00  0.00  0.00   0.1  0.00  0.23  0.53  0.37
   15  91    14    14   3.3 -11.5 10.77  0.77  0.08  1.33   5.7  0.10 0.008  0.10   134    68     7    58    24    34     0  0.00     0     0    22     0     0 .0085  38.5     0     0   375   399  0.12  0.74  19.8  99.9  1.58  0.00  0.00  0.00  0.10  0.10  0.10   0.5  0.33  0.67  0.48  0.37
