$PLANT NITROGEN ASPECTS OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.5.000 -release  OCT 24, 2025 14:14:59

*RUN   1        : 1                         CSCER048 TUDU1501    1
 MODEL          : CSCER048 - Wheat
 EXPERIMENT     : TUDU1501 WH
 DATA PATH      :
 TREATMENT  1   : 1                         CSCER048
  
@YEAR DOY   DAS   DAP TMEAN  GSTD  NUAC  TNAD SDNAD  RNAD  CNAD  LNAD  SNAD  HNAD   HIND  RSNAD  SNNPD SNN0D SNN1D  RN%D  LN%D  SN%D   HN%D  SDN%D   VN%D LN%RD SN%RD RN%RD  VCN%  VMN% NUPRD NDEMD
   15  77     0     0   7.7  0.00   0.0   2.0  2.02  0.00   0.0   0.0   0.0   0.0   0.00   0.00   0.00     0     0 0.000 0.000 0.000   0.00   1.90   0.00  0.00  0.00  0.00   0.0  0.00  0.00  0.00
   15  78     1     1   6.3  2.65   0.0   2.0  2.02  0.00   0.0   0.0   0.0   0.0   0.00   0.00   0.00     0     0 0.000 0.000 0.000   0.00   1.90   0.00  0.00  0.00  0.00   0.0  0.00  0.00  0.00
   15  79     2     2   5.4  4.83   0.0   2.0  2.02  0.00   0.0   0.0   0.0   0.0   0.00   0.00   0.00     0     0 0.000 0.000 0.000   0.00   1.90   0.00  0.00  0.00  0.00   0.0  0.00  0.00  0.00
   15  80     3     3   5.3  5.99   0.0   2.0  2.02  0.00   0.0   0.0   0.0   0.0   0.00   0.00   0.00     0     0 0.000 0.000 0.000   0.00   1.90   0.00  0.00  0.00  0.00   0.0  0.00  0.00  0.00
   15  81     4     4   4.1  6.77   0.0   2.0  2.02  0.01   0.0   0.0   0.0   0.0   0.00   0.00   0.00     0     0 1.993 0.000 0.000   0.00   1.90   0.00  0.00  0.00  1.00   0.0  0.00  0.00  0.00
   15  82     5     5   2.8  7.21   0.0   2.0  2.02  0.01   0.0   0.0   0.0   0.0   0.00   0.00   0.00     0 .0000 1.989 0.000 0.000   0.00   1.90   0.00  0.00  0.00  1.00   0.0  0.00  0.77  0.00
   15  83     6     6   6.6  8.61   0.0   2.0  2.01  0.02   0.0   0.0   0.0   0.0   0.00   0.00   0.00     0 .0000 1.980 0.000 0.000   0.00   1.90   0.00  0.00  0.00  1.00   0.0  0.00  0.38  0.01
   15  84     7     7   8.9 10.00   0.0   2.0  2.00  0.03   0.0   0.0   0.0   0.0   0.00   0.00   0.00     0 .0000 1.970 0.000 0.000   0.00   1.91   0.00  0.00  0.00  1.00   0.0  0.00  0.38  0.01
   15  85     8     8   6.3 10.10   0.0   2.0  1.70  0.04   0.3   0.2   0.0   0.0   0.00  -0.00   0.00     0 .0000 1.968 6.373 0.000   0.00   1.70   6.40  1.00  0.00  1.00   6.4  0.75  0.02  0.24
   15  86     9     9   6.5 10.21   0.0   2.0  1.39  0.05   0.6   0.4   0.0   0.0   0.00   0.00   0.00     0 .0000 1.967 6.364 0.011   0.00   1.47   5.83  1.00  0.01  1.00   6.4  0.75  0.03  0.25
   15  87    10    10   6.4 10.32   0.0   2.1  1.09  0.06   0.9   0.6   0.0   0.0   0.00   0.00   0.00     0 .0000 1.967 6.367 0.019   0.00   1.21   5.14  1.00  0.01  1.00   6.4  0.75  0.04  0.25
   15  88    11    11   9.5 10.48   0.0   2.1  0.41  0.08   1.6   1.1   0.0   0.0   0.00   0.00   0.00     0 .0001 1.967 6.362 0.012   0.00   0.52   5.08  1.00  0.01  1.00   6.3  0.75  0.02  0.55
   15  89    12    12   6.7 10.59   0.1   2.1  0.08  0.09   1.9   1.3   0.0   0.0   0.00   0.00   0.00     0 .0001 1.965 6.358 0.012   0.00   0.11   4.64  1.00  0.01  1.00   6.3  0.75  0.05  0.28
   15  90    13    13   7.8 10.72   0.1   2.1  0.00  0.12   2.0   1.3   0.0   0.0   0.00   0.00   0.00     0 .0001 1.940 5.782 0.042   0.00   0.00   3.78  0.91  0.02  0.99   6.3  0.75  0.14  0.31
   15  91    14    14   3.3 10.77   0.2   2.2  0.00  0.14   2.0   1.4   0.0   0.0   0.00   0.00   0.00     0 .0001 1.882 5.712 0.141   0.00   0.00   3.50  0.90  0.07  0.96   6.3  0.75  0.55  0.10
   15  92    15    15   3.1 10.82   0.2   2.2  0.00  0.15   2.1   1.4   0.0   0.0   0.00   0.00   0.00     0 .0001 1.840 5.686 0.250   0.00   0.00   3.31  0.90  0.13  0.94   6.3  0.75  0.65  0.09
   15  93    16    16   4.2 10.89   0.3   2.3  0.00  0.17   2.1   1.4   0.0   0.0   0.00   0.00   0.00     0 .0002 1.780 5.532 0.309   0.00   0.00   2.95  0.87  0.16  0.91   6.3  0.75  0.41  0.16
   15  94    17    17   3.6 10.95   0.4   2.4  0.00  0.18   2.2   1.5   0.0   0.0   0.00   0.00   0.00     0 .0002 1.756 5.511 0.418   0.00   0.00   2.84  0.87  0.21  0.89   6.3  0.75  0.66  0.11
   15  95    18    18   2.5 10.99   0.4   2.5  0.00  0.20   2.3   1.5   0.0   0.0   0.00   0.00   0.00     0 .0002 1.782 5.564 0.537   0.00   0.00   2.74  0.88  0.28  0.91   6.3  0.75  1.07  0.07
   15  96    19    19   1.9 11.03   0.5   2.5  0.00  0.21   2.3   1.5   0.0   0.0   0.00   0.00   0.00     0 .0002 1.802 5.610 0.634   0.00   0.00   2.67  0.89  0.33  0.92   6.3  0.75  1.57  0.06
