*Soil Carbon Balance Summary

*DSSAT Cropping System Model Ver. 4.8.5.000 -release  OCT 24, 2025 14:14:59
!                             <----------------- Initial State Variables ----------------><------------------ Final State Variables -----------------><----------- Added ----------><---------------- Lost ---------------->
!                             <-------- SOM-C -------><-------- FOM-C -------><-----CH4--><-------- SOM-C -------><-------- FOM-C -------><-----CH4--><---OM---><Senesced><-HarvRes><----------------- GHG ----------------><--Balance->
!                                     Surf        Soil        Surf        Soil     Storage        Surf        Soil        Surf        Soil     Storage 
@Run FILEX               TN CR       SC0Di      SOMCTi       LC0Di       LCTDi     CH4STDi        SC0D       SOMCT        LC0D        LCTD      CH4STD      OMAC     SENCC      HRCH     CO2EC     CH4EC    CH4LCC    CH4COC      CUMBAL
   1 TUDU1501.WHX         1 WH        0.00   263495.50        0.00      880.00        0.00        0.00   262965.53       24.31      299.11        0.00      0.00     49.31      0.00   1135.85      0.00      0.00      0.00     -0.0191
   2 TUDU1501.WHX         2 WH        0.00   263495.50        0.00      880.00        0.00        0.00   262966.34       24.63      300.67        0.00      0.00     50.23      0.00   1134.11      0.00      0.00      0.00      0.0316
   3 TUDU1501.WHX         3 WH        0.00   263495.50        0.00      880.00        0.00        0.00   262897.31       34.98      257.44        0.00      0.00     47.42      0.00   1233.21      0.00      0.00      0.00      0.0098
   4 TUDU1501.WHX         4 WH        0.00   263495.50        0.00      880.00        0.00        0.00   262966.59       24.67      300.76        0.00      0.00     50.26      0.00   1133.79      0.00      0.00      0.00      0.0602
   5 TUDU1501.WHX         5 WH        0.00   263495.50        0.00      880.00        0.00        0.00   262967.25       24.55      303.48        0.00      0.00     50.78      0.00   1131.03      0.00      0.00      0.00      0.0286
   6 TUDU1501.WHX         6 WH        0.00   263495.50        0.00      880.00        0.00        0.00   262966.12       24.61      300.33        0.00      0.00     49.97      0.00   1134.42      0.00      0.00      0.00      0.0121
   7 TUDU1501.WHX         7 WH        0.00   263495.50        0.00      880.00        0.00        0.00   262968.91       24.76      303.49        0.00      0.00     51.21      0.00   1129.59      0.00      0.00      0.00      0.0374
   8 TUDU1501.WHX         8 WH        0.00   263495.50        0.00      880.00        0.00        0.00   262968.97       24.50      305.51        0.00      0.00     50.83      0.00   1127.37      0.00      0.00      0.00      0.0113
   9 TUDU1501.WHX         9 WH        0.00   263495.50        0.00      880.00        0.00        0.00   262969.38       24.78      306.62        0.00      0.00     51.49      0.00   1126.30      0.00      0.00      0.00      0.0986
  10 TUDU1501.WHX        10 WH        0.00   263495.50        0.00      880.00        0.00        0.00   262897.38       34.98      257.52        0.00      0.00     47.43      0.00   1233.04      0.00      0.00      0.00     -0.0135
  11 TUDU1501.WHX        11 WH        0.00   263495.50        0.00      880.00        0.00        0.00   262969.38       24.80      306.67        0.00      0.00     51.57      0.00   1126.27      0.00      0.00      0.00      0.0451
  12 TUDU1501.WHX        12 WH        0.00   263495.50        0.00      880.00        0.00        0.00   262969.31       24.62      306.45        0.00      0.00     51.15      0.00   1126.30      0.00      0.00      0.00      0.0277
  13 TUDU1501.WHX        13 WH        0.00   263495.50        0.00      880.00        0.00        0.00   262968.56       24.77      305.24        0.00      0.00     51.39      0.00   1128.37      0.00      0.00      0.00      0.0377
  14 TUDU1501.WHX        14 WH        0.00   263495.50        0.00      880.00        0.00        0.00   262967.09       24.76      304.28        0.00      0.00     51.21      0.00   1130.66      0.00      0.00      0.00      0.0758
  15 TUDU1501.WHX        15 WH        0.00   263495.50        0.00      880.00        0.00        0.00   262895.88       34.98      256.39        0.00      0.00     47.35      0.00   1235.60      0.00      0.00      0.00      0.0067
