
*SOIL N BALANCE - CENTURY ROUTINES

*DSSAT Cropping System Model Ver. 4.8.5.000 -release  OCT 24, 2025 14:14:59

!                              |--------------- Initial N State Variables ----------------|----------------- Final N State Variables -----------------|------------- N Additions -------------|---------------- N Subtractions -----------------|--Mineralization---|----- Seasonal Balance -----|
!                              |----------------- Organic ----------------------|         |------------------ Organic ----------------------|         |  Harvest   Applied                    |              Tile-     Plant     N gas     Flood|   Miner-    Immob-|                            |
!                              | Surface      SOM1      SOM2      SOM3    Litter     Inorg|  Surface      SOM1      SOM2      SOM3    Litter     Inorg|  Residue   Residue  Fertiliz   Senesed|  Leached   drained    Uptake    Losses    Losses|   alized    ilized|Inorganic   Organic   Overall
@Run FILEX               TN CR     SN0Di    S1NTDi    S2NTDi    S3NTDi     LNTDi     NIADi      SN0D     S1NTD     S2NTD     S3NTD      LNTD      NIAD      HRNH     RESNC      NICM     SNNTC      NLCM      TDFC      NUCM     NGasC      RNRO      NMNC      NIMC    InNBal   OrgNBal     SNBAL
   1 TUDU1501.WHX         1 WH      0.00      0.00  15385.22      0.00     14.00     31.35      0.85      0.00  15349.98      0.00     11.67     71.67      0.00      0.00    120.00      1.67      1.75      0.00     83.40     32.92      0.00     38.88      0.49     -0.00      0.00     -0.00
   2 TUDU1501.WHX         2 WH      0.00      0.00  15385.22      0.00     14.00     31.35      0.86      0.00  15350.00      0.00     11.72    100.32      0.00      0.00    120.00      1.70      1.74      0.00     86.78      0.85      0.00     38.83      0.49     -0.00      0.00      0.00
   3 TUDU1501.WHX         3 WH      0.00      0.00  15385.22      0.00     14.00     31.35      1.20      0.00  15346.78      0.00     10.40     70.63      0.00      0.00     40.00      1.61      1.63      0.00     40.39      1.15      0.00     42.85      0.41      0.00      0.00      0.00
   4 TUDU1501.WHX         4 WH      0.00      0.00  15385.22      0.00     14.00     31.35      0.86      0.00  15350.00      0.00     11.72     99.03      0.00      0.00    120.00      1.70      1.74      0.00     86.31      2.62      0.00     38.82      0.49     -0.00      0.00     -0.00
   5 TUDU1501.WHX         5 WH      0.00      0.00  15385.22      0.00     14.00     31.35      0.86      0.00  15349.95      0.00     11.80     95.11      0.00      0.00    120.00      1.72      1.74      0.00     89.77      3.05      0.00     38.82      0.49      0.00     -0.00     -0.00
   6 TUDU1501.WHX         6 WH      0.00      0.00  15385.22      0.00     14.00     31.35      0.86      0.00  15349.99      0.00     11.71     80.39      0.00      0.00    120.00      1.69      1.74      0.00     84.48     23.09      0.00     38.84      0.49      0.00      0.00      0.00
   7 TUDU1501.WHX         7 WH      0.00      0.00  15385.22      0.00     14.00     31.35      0.87      0.00  15350.07      0.00     11.80     92.16      0.00      0.00    120.00      1.73      1.73      0.00     92.98      2.69      0.00     38.71      0.49      0.00      0.00      0.00
   8 TUDU1501.WHX         8 WH      0.00      0.00  15385.22      0.00     14.00     31.35      0.86      0.00  15350.00      0.00     11.85    114.58      0.00      0.00    180.00      1.72      1.74      0.00     95.18     38.08      0.00     38.72      0.49      0.00      0.00      0.00
   9 TUDU1501.WHX         9 WH      0.00      0.00  15385.22      0.00     14.00     31.35      0.87      0.00  15349.97      0.00     11.88    148.73      0.00      0.00    180.00      1.74      1.74      0.00     97.67      1.46      0.00     38.73      0.49     -0.00      0.00     -0.00
  10 TUDU1501.WHX        10 WH      0.00      0.00  15385.22      0.00     14.00     31.35      1.20      0.00  15346.79      0.00     10.40     89.96      0.00      0.00     60.00      1.61      1.63      0.00     40.96      1.24      0.00     42.85      0.41      0.00     -0.00     -0.00
  11 TUDU1501.WHX        11 WH      0.00      0.00  15385.22      0.00     14.00     31.35      0.87      0.00  15349.98      0.00     11.88    147.37      0.00      0.00    180.00      1.75      1.66      0.00     97.40      3.16      0.00     38.73      0.49      0.00      0.00      0.00
  12 TUDU1501.WHX        12 WH      0.00      0.00  15385.22      0.00     14.00     31.35      0.86      0.00  15349.98      0.00     11.88    147.00      0.00      0.00    180.00      1.73      1.74      0.00     97.16      3.69      0.00     38.72      0.49     -0.00      0.00     -0.00
  13 TUDU1501.WHX        13 WH      0.00      0.00  15385.22      0.00     14.00     31.35      0.87      0.00  15349.97      0.00     11.84    121.58      0.00      0.00    180.00      1.74      1.74      0.00     95.91     30.40      0.00     38.77      0.49      0.00      0.00      0.00
  14 TUDU1501.WHX        14 WH      0.00      0.00  15385.22      0.00     14.00     31.35      0.87      0.00  15349.91      0.00     11.82    149.68      0.00      0.00    180.00      1.73      1.73      0.00     95.26      3.04      0.00     38.85      0.49      0.00      0.00      0.00
  15 TUDU1501.WHX        15 WH      0.00      0.00  15385.22      0.00     14.00     31.35      1.20      0.00  15346.71      0.00     10.37     40.48      0.00      0.00      0.00      1.61      1.63      0.00     31.65      0.15      0.00     42.95      0.41      0.00      0.00      0.00
