*Soil Inorganic Nitrogen daily output file

*DSSAT Cropping System Model Ver. 4.8.5.000 -release  OCT 24, 2025 14:14:59

*RUN   1        : 1                         CSCER048 TUDU1501    1
 MODEL          : CSCER048 - Wheat
 EXPERIMENT     : TUDU1501 WH
 DATA PATH      :
 TREATMENT  1   : 1                         CSCER048
  
!                                                                                                                                      NO3 (ppm) at soil dep. (cm):                                            NH4 (ppm) at soil dep. (cm):                                            Total Inorganic N @dep(ppm):
!                                                                                                                                       0-5    5-15   15-30   30-45   45-60   60-80  80-100 100-150 150-200     0-5    5-15   15-30   30-45   45-60   60-80  80-100 100-150 150-200     0-5    5-15   15-30   30-45   45-60   60-80  80-100 100-150 150-200
@YEAR DOY   DAS  NAPC  NI#M    NIAD    NITD    NHTD   NURTD    NMNC    NITC    NDNC    NIMC    AMLC   NNMNC    NUCM    NLCC    TDNC    NI1D    NI2D    NI3D    NI4D    NI5D    NI6D    NI7D    NI8D    NI9D    NH1D    NH2D    NH3D    NH4D    NH5D    NH6D    NH7D    NH8D    NH9D    NT1D    NT2D    NT3D    NT4D    NT5D    NT6D    NT7D    NT8D    NT9D    
   15 076     0     0     0    31.4    22.0     9.3     0.0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    2.00     1.5     1.2    1.00    1.00    0.80    0.80    0.50    0.50    1.00    0.80    0.60    0.40    0.40    0.30    0.30    0.20    0.20    3.00    2.30    1.80    1.40    1.40    1.10    1.10    0.70    0.70
   15 077     1     0     0    31.3    23.2     8.1     0.0    0.06    1.18    0.00    0.07    0.00   -0.01    0.00    0.00    0.00    2.11     1.6     1.3    1.05    1.05    0.84    0.84    0.53    0.53    0.86    0.68    0.52    0.35    0.35    0.26    0.26    0.18    0.18    2.97    2.27    1.80    1.40    1.40    1.10    1.10    0.70    0.70
   15 078     2     0     0    31.3    24.2     7.1     0.0    0.11    2.16    0.00    0.12    0.00   -0.02    0.00    0.00    0.00    2.23     1.7     1.3    1.09    1.09    0.87    0.87    0.55    0.55    0.74    0.58    0.46    0.30    0.31    0.23    0.23    0.16    0.16    2.97    2.24    1.79    1.40    1.40    1.10    1.10    0.71    0.71
   15 079     3     0     0    31.3    25.0     6.3     0.0    0.15    2.98    0.00    0.16    0.00   -0.01    0.00    0.00    0.00    2.34     1.7     1.4    1.12    1.12    0.90    0.90    0.57    0.57    0.65    0.50    0.41    0.27    0.28    0.20    0.21    0.14    0.14    2.99    2.21    1.79    1.39    1.40    1.10    1.10    0.71    0.71
   15 080     4     0     0    31.3    25.7     5.7     0.0    0.19    3.65    0.00    0.18    0.00    0.01    0.00    0.00    0.00    2.35     1.8     1.4    1.15    1.15    0.92    0.92    0.58    0.58    0.58    0.44    0.37    0.24    0.25    0.18    0.19    0.12    0.13    2.93    2.23    1.78    1.39    1.40    1.10    1.11    0.71    0.71
   15 081     5     0     0    31.4    26.2     5.1     0.0    0.22    4.21    0.00    0.20    0.00    0.02    0.00    0.00    0.00    2.39     1.8     1.4    1.17    1.17    0.94    0.94    0.60    0.60    0.53    0.40    0.33    0.22    0.22    0.16    0.17    0.11    0.12    2.92    2.23    1.78    1.39    1.40    1.10    1.11    0.71    0.71
   15 082     6     0     0    31.4    26.7     4.7     0.0    0.23    4.68    0.00    0.20    0.00    0.03    0.00    0.00    0.00    2.46     1.9     1.5    1.19    1.19    0.95    0.95    0.61    0.61    0.49    0.36    0.31    0.20    0.20    0.15    0.15    0.10    0.10    2.94    2.22    1.78    1.39    1.40    1.10    1.11    0.71    0.72
   15 083     7     0     0    31.4    27.1     4.3     0.0    0.24    5.07    0.00    0.20    0.00    0.03    0.00    0.00    0.00    2.52     1.9     1.5    1.21    1.21    0.96    0.97    0.62    0.62    0.45    0.34    0.28    0.18    0.19    0.14    0.14    0.09    0.09    2.97    2.20    1.78    1.39    1.40    1.10    1.11    0.71    0.72
   15 084     8     0     0    31.4    27.4     3.9     0.0    0.24    5.44    0.00    0.20    0.00    0.04    0.01    0.00    0.00    2.58     1.9     1.5    1.22    1.22    0.98    0.98    0.63    0.63    0.42    0.31    0.26    0.17    0.17    0.12    0.13    0.08    0.09    3.00    2.19    1.78    1.39    1.40    1.10    1.11    0.71    0.72
   15 085     9     0     0    31.4    27.8     3.6     0.0    0.25    5.79    0.00    0.21    0.00    0.05    0.01    0.00    0.00    2.63     1.9     1.5    1.24    1.24    0.99    0.99    0.64    0.64    0.39    0.29    0.24    0.15    0.16    0.11    0.12    0.08    0.08    3.02    2.18    1.77    1.39    1.40    1.10    1.11    0.71    0.72
