$GROWTH FACTOR OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.5.000 -release  SEP 11, 2025 22:39:39

*RUN   1        : DRYLAND  - 0 KG N/HA      CSCER048 KSAS8101    1
 MODEL          : CSCER048 - Wheat
 EXPERIMENT     : KSAS8101 WH N RESPONSE,KANSAS STATE  3FE(N)*2IR  (DSSAT3)
 DATA PATH      :
 TREATMENT  1   : DRYLAND  - 0 KG N/HA      CSCER048
  
!........DATES.......  TEMP STAGE  ...PHENOLOGY....  .......PHOTOSYNTHESIS.......  .....GROWTH.....  ..TILLERS. WATER STRESS DETERMINANTS N STRESS DETERMINANTS       
@YEAR DOY   DAS   DAP TMEAN  GSTD    DU VRNFD DYLFD TFGEM  WFGE  TFPD  WFPD  NFPD CO2FD RSFPD  TFGD  WFGD  NFGD  WFTD  NFTD WAVRD WUPRD  SWXD  EOPD  SNXD LN%RD SN%RD RN%RD      
 1981 289    10     0  12.8   0.0  12.8  1.00  0.00  0.53  0.00  0.00  0.00  0.00 -0.01  0.00  0.00  0.00  0.00  0.00  0.00 99.90  1.00   3.8   0.0 178.6  0.00  0.00  0.00
 1981 290    11     1  16.1   5.6   0.0  1.00  0.00  0.40  0.00  0.00  0.00  0.00 -0.01  0.00  0.00  0.00  0.00  0.00  0.00 99.90  1.00   7.0   0.0 179.0  0.00  0.00  0.00
 1981 291    12     2   9.4   6.5   0.0  0.99  0.00  0.66  0.00  0.00  0.00  0.00 -0.01  0.00  0.06  0.00  0.00  0.00  0.00 99.90  1.00   7.1   0.0 179.5  0.00  0.00  1.00
 1981 292    13     3  12.2   7.8   0.2  0.98  0.00  0.55  0.00  0.00  0.00  0.00 -0.01  0.00  0.00  0.00  0.00  0.00  0.00 99.90  1.00   6.7   0.0 180.0  0.00  0.00  1.00
 1981 293    14     4  17.5   9.7   0.4  0.98  0.00  0.34  0.00  0.00  0.00  0.00 -0.01  0.00  0.00  0.00  0.00  0.00  0.00 99.90  1.00   9.0   0.0 180.3  0.00  0.00  1.00
 1981 294    15     5  11.7  10.0   0.3  0.97  0.00  0.57  0.00  0.00  0.00  0.00 -0.01  0.00  0.00  0.00  0.00  0.00  0.00 99.90  1.00  10.2   0.0 180.7  0.00  0.00  1.00
 1981 295    16     6   6.2  10.1   0.1  0.95  0.49  0.79  0.00  0.00  0.00  0.00 -0.01  0.00  0.38  0.00  0.00  0.00  0.00 99.90  1.00  10.3   0.0 181.0  1.00  0.00  1.00
 1981 296    17     7   1.9  10.2   0.0  0.93  0.49  0.96  0.00  0.61  0.00  0.00 -0.01  0.00  0.81  0.00  0.00  0.00  0.00 99.90 15.00  10.1   0.0 181.3  1.00  0.00  1.00
 1981 297    18     8   6.1  10.3   0.2  0.91  0.50  0.80  0.00  0.00  0.00  0.00 -0.01  0.00  0.39  0.00  0.00  0.00  0.00 99.90 15.00  10.6   0.0 181.5  1.00  0.88  1.00
 1981 298    19     9   8.4  10.5   0.4  0.89  0.50  0.71  0.00  0.00  0.00  0.00 -0.01  0.00  0.16  0.00  0.00  0.00  0.00 99.90 15.00  13.6   0.0 181.7  1.00  0.69  1.00
 1981 299    20    10   7.8  10.6   0.4  0.87  0.51  0.73  0.00  0.00  0.00  0.00 -0.01  0.00  0.22  0.00  0.00  0.00  0.00 99.90  7.99  13.8   0.0 181.8  1.00  0.72  1.00
 1981 300    21    11  13.7  10.9   0.9  0.87  0.51  0.49  0.00  0.00  0.00  0.00 -0.01  0.00  0.00  0.00  0.00  0.00  0.00 99.90  4.90  14.8   0.0 181.8  1.00  0.53  1.00
 1981 301    22    12  16.2  11.3   1.0  0.87  0.52  0.39  0.00  0.00  0.00  0.00 -0.01  0.00  0.00  0.00  0.00  0.00  0.00 99.90  3.53  16.3   0.0 181.9  1.00  0.43  1.00
 1981 302    23    13  17.5  11.6   1.1  0.87  0.52  0.34  0.00  0.00  0.00  0.00 -0.01  0.00  0.00  0.00  0.00  0.00  0.00 99.90  2.58  18.0   0.1 182.1  1.00  0.37  1.00
 1981 303    24    14  16.1  12.0   1.0  0.87  0.52  0.40  0.00  0.00  0.00  0.00 -0.01  0.00  0.00  0.00  0.00  0.00  0.00 99.90  9.73  19.7   0.0 182.3  0.92  0.37  0.99
 1981 304    25    15  13.9  12.1   0.9  0.87  0.53  0.48  0.00  0.00  0.00  0.09 -0.01  0.00  0.00  0.00  0.09  0.00  0.09 99.90 14.92  21.6   0.0 182.6  0.90  0.41  0.97
 1981 305    26    16  12.2  12.3   0.8  0.86  0.53  0.55  0.00  0.00  0.00  0.11 -0.01  0.00  0.00  0.00  0.11  0.00  0.11 99.90  9.61  51.2   0.0 182.9  0.87  0.42  0.96
 1981 306    27    17  10.2  12.4   0.7  0.85  0.54  0.63  0.00  0.00  0.00  0.15 -0.01  0.00  0.00  0.00  0.15  0.00  0.15 99.90 12.64  52.7   0.0 183.4  0.88  0.48  0.96
 1981 307    28    18  11.4  12.5   0.8  0.84  0.54  0.58  0.00  0.00  0.00  0.13 -0.01  0.00  0.00  0.00  0.13  0.00  0.13 99.90  5.54  51.5   0.1 183.8  0.90  0.55  0.97
