*N2O emissions output file

*DSSAT Cropping System Model Ver. 4.8.5.000 -release  SEP 11, 2025 14:40:05

*RUN   1        : DRYLAND  - 0 KG N/HA      CSCER048 KSAS8101    1
 MODEL          : CSCER048 - Wheat
 EXPERIMENT     : KSAS8101 WH N RESPONSE,KANSAS STATE  3FE(N)*2IR  (DSSAT3)
 DATA PATH      :
 TREATMENT  1   : DRYLAND  - 0 KG N/HA      CSCER048
  
!              |------------------------------ Cumulative -----------------------------|------------------------------ Daily ----------------------------------|
!               N2Oemit  N2emit  NOemit   Denit  Nitrif   N2O-denit+nit      N2      NO N2Oemit  N2emit  NOemit   Denit  Nitrif   N2O-denit+nit      N2      NO   Denitrification (g[N]/ha) by soil depth (cm):                           Nitrification (g[N]/ha) by soil depth (cm):                             N2O flux (g[N]/ha) by soil depth (cm):                                  N2 flux (g[N]/ha) by soil depth (cm):                                   NO flux (g[N]/ha) by soil depth (cm):
!                 kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha     0-5    5-15   15-30   30-45   45-60   60-90  90-120 120-150 150-180     0-5    5-15   15-30   30-45   45-60   60-90  90-120 120-150 150-180     0-5    5-15   15-30   30-45   45-60   60-90  90-120 120-150 150-180     0-5    5-15   15-30   30-45   45-60   60-90  90-120 120-150 150-180     0-5    5-15   15-30   30-45   45-60   60-90  90-120 120-150 150-180
@YEAR DOY   DAS   N2OEC    N2EC    NOEC    NDNC    NITC   N2ODC   N2ONC   N2FLC   NOFLC  N2OGED   N2GED   NOGED    NDND   NITRD   N2ODD   N2OND   N2FLD   NOFLD   NDN1D   NDN2D   NDN3D   NDN4D   NDN5D   NDN6D   NDN7D   NDN8D   NDN9D   NIT1D   NIT2D   NIT3D   NIT4D   NIT5D   NIT6D   NIT7D   NIT8D   NIT9D   N2O1D   N2O2D   N2O3D   N2O4D   N2O5D   N2O6D   N2O7D   N2O8D   N2O9D   N2F1D   N2F2D   N2F3D   N2F4D   N2F5D   N2F6D   N2F7D   N2F8D   N2F9D   NOF1D   NOF2D   NOF3D   NOF4D   NOF5D   NOF6D   NOF7D   NOF8D   NOF9D   
 1981 279     1    0.00    0.00    0.00    0.00    22.1   0.000   0.022   0.000   0.161     0.3     0.0     1.9     0.0   22094    0.00   22.09    0.00  161.14     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0    711.   1453.   2124.   1763.   1775.   3146.   3952.   3717.   3452.     0.7     1.5     2.1     1.8     1.8     3.1     4.0     3.7     3.5     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     4.7     9.5    13.2    13.0    13.0    24.1    29.7    27.9    25.9
 1981 280     2    0.00    0.00    0.01    0.00    35.2   0.000   0.035   0.000   0.257     0.5     0.0     3.6     0.0   13146    0.00   13.15    0.00   96.10     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0    413.    841.   1193.    991.   1004.   1800.   2348.   2310.   2246.     0.4     0.8     1.2     1.0     1.0     1.8     2.3     2.3     2.2     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     2.8     5.5     7.4     7.3     7.4    13.8    17.6    17.4    16.9
 1981 281     3    0.00    0.00    0.01    0.00    43.2   0.000   0.043   0.000   0.316     0.8     0.0     5.1     0.0    7992    0.00    7.99    0.00   58.50     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0    250.    522.    686.    572.    583.   1052.   1416.   1446.   1465.     0.3     0.5     0.7     0.6     0.6     1.1     1.4     1.4     1.5     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.7     3.4     4.3     4.2     4.3     8.1    10.6    10.9    11.0
 1981 282     4    0.00    0.00    0.02    0.00    48.2   0.000   0.048   0.000   0.352     1.0     0.0     6.7     0.0    5005    0.00    5.01    0.00   36.69     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0    115.    352.    412.    344.    352.    637.    881.    932.    980.     0.1     0.4     0.4     0.3     0.4     0.6     0.9     0.9     1.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.8     2.3     2.6     2.5     2.6     4.9     6.6     7.0     7.4
 1981 283     5    0.00    0.00    0.03    0.00    51.7   0.000   0.052   0.000   0.377     1.2     0.0     7.9     0.0    3421    0.00    3.42    0.00   25.06     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     84.    271.    275.    229.    235.    420.    588.    634.    685.     0.1     0.3     0.3     0.2     0.2     0.4     0.6     0.6     0.7     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.6     1.8     1.7     1.7     1.7     3.2     4.4     4.8     5.1
 1981 284     6    0.01    0.00    0.03    0.00    54.0   0.000   0.054   0.000   0.395     1.4     0.0     9.3     0.0    2358    0.00    2.36    0.00   17.26     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     51.    213.    186.    154.    158.    279.    396.    437.    484.     0.1     0.2     0.2     0.2     0.2     0.3     0.4     0.4     0.5     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.4     1.4     1.2     1.1     1.2     2.1     3.0     3.3     3.6
 1981 285     7    0.01    0.00    0.05    0.00    55.8   0.000   0.056   0.000   0.444     1.5     0.0    11.1     0.0    1797    0.00    1.80    0.00   49.20     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     44.    191.    143.    118.    120.    206.    291.    322.    361.     0.0     0.2     0.1     0.1     0.1     0.2     0.3     0.3     0.4     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.2     4.7     3.3     3.2     3.3     5.9     8.2     9.1    10.2
 1981 286     8    0.01    0.00    0.06    0.00    57.3   0.000   0.057   0.000   0.477     1.4     0.0    11.1     0.0    1496    0.00    1.50    0.00   32.99     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     79.    189.    120.     97.     98.    161.    224.    247.    280.     0.1     0.2     0.1     0.1     0.1     0.2     0.2     0.2     0.3     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.6     3.8     2.3     2.2     2.2     3.8     5.1     5.7     6.4
 1981 287     9    0.01    0.00    0.07    0.00    58.6   0.000   0.059   0.000   0.500     1.7     0.0    13.2     0.0    1283    0.00    1.28    0.00   22.86     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     82.    202.    105.     83.     83.    130.    178.    196.    224.     0.1     0.2     0.1     0.1     0.1     0.1     0.2     0.2     0.2     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.3     3.3     1.6     1.5     1.5     2.5     3.3     3.6     4.2
 1981 288    10    0.01    0.00    0.08    0.00    59.6   0.000   0.060   0.000   0.515     1.8     0.0    14.9     0.0    1040    0.00    1.04    0.00   14.95     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     79.    201.     83.     65.     65.     98.    133.    146.    169.     0.1     0.2     0.1     0.1     0.1     0.1     0.1     0.1     0.2     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.0     2.7     1.0     1.0     1.0     1.5     2.0     2.2     2.5
 1981 289    11    0.01    0.00    0.10    0.00    60.5   0.000   0.060   0.000   0.525     2.1     0.0    16.9     0.0     849    0.00    0.85    0.00    9.87     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     77.    198.     64.     50.     51.     73.     99.    109.    127.     0.1     0.2     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.8     2.1     0.6     0.6     0.6     0.9     1.2     1.3     1.6
 1981 290    12    0.02    0.00    0.12    0.00    61.2   0.000   0.061   0.000   0.531     2.2     0.0    18.4     0.0     708    0.00    0.71    0.00    6.65     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     73.    197.     50.     40.     41.     55.     75.     82.     96.     0.1     0.2     0.0     0.0     0.0     0.1     0.1     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.7     1.7     0.4     0.4     0.4     0.6     0.7     0.8     1.0
 1981 291    13    0.02    0.00    0.14    0.00    61.7   0.000   0.062   0.000   0.535     2.2     0.0    18.6     0.0     508    0.00    0.51    0.00    3.86     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     70.     94.     40.     32.     34.     44.     58.     63.     74.     0.1     0.1     0.0     0.0     0.0     0.0     0.1     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.5     0.6     0.3     0.3     0.3     0.4     0.5     0.5     0.6
 1981 292    14    0.02    0.00    0.16    0.00    62.2   0.000   0.062   0.000   0.539     2.4     0.0    20.0     0.0     538    0.00    0.54    0.00    3.74     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     64.    215.     29.     24.     26.     33.     44.     47.     57.     0.1     0.2     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.4     1.4     0.2     0.2     0.2     0.3     0.3     0.4     0.4
 1981 293    15    0.02    0.00    0.18    0.00    62.7   0.000   0.063   0.000   0.542     2.6     0.0    22.2     0.0     478    0.00    0.48    0.00    3.33     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     59.    207.     23.     20.     22.     27.     36.     38.     45.     0.1     0.2     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.4     1.4     0.1     0.1     0.2     0.2     0.3     0.3     0.3
 1981 294    16    0.03    0.00    0.20    0.00    63.2   0.000   0.063   0.000   0.545     2.7     0.0    23.0     0.0     472    0.00    0.47    0.00    3.28     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     53.    224.     23.     19.     22.     26.     33.     34.     39.     0.1     0.2     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.4     1.5     0.1     0.1     0.2     0.2     0.2     0.3     0.3
 1981 295    17    0.03    0.00    0.23    0.00    63.6   0.000   0.064   0.000   0.549     2.8     0.0    23.4     0.0     440    0.00    0.44    0.00    3.05     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     41.    222.     21.     18.     20.     24.     30.     30.     34.     0.0     0.2     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.3     1.5     0.1     0.1     0.1     0.2     0.2     0.2     0.3
 1981 296    18    0.03    0.00    0.25    0.00    64.0   0.000   0.064   0.000   0.551     2.7     0.0    23.5     0.0     370    0.00    0.37    0.00    2.57     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     29.    190.     17.     15.     17.     21.     26.     25.     29.     0.0     0.2     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.2     1.3     0.1     0.1     0.1     0.2     0.2     0.2     0.2
 1981 297    19    0.03    0.00    0.27    0.00    64.3   0.000   0.064   0.000   0.553     2.7     0.0    23.3     0.0     322    0.00    0.32    0.00    2.24     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     21.    165.     15.     14.     16.     19.     24.     23.     26.     0.0     0.2     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.2     1.1     0.1     0.1     0.1     0.1     0.2     0.2     0.2
 1981 298    20    0.04    0.00    0.30    0.00    64.6   0.000   0.065   0.000   0.555     2.6     0.0    22.8     0.0     287    0.00    0.29    0.00    2.00     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     16.    146.     13.     12.     15.     18.     22.     21.     23.     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     1.0     0.1     0.1     0.1     0.1     0.2     0.2     0.2
 1981 299    21    0.04    0.00    0.32    0.00    64.9   0.000   0.065   0.000   0.557     2.3     0.0    20.1     0.0     255    0.00    0.25    0.00    1.78     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     22.    120.     11.     11.     13.     16.     20.     19.     21.     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.2     0.8     0.1     0.1     0.1     0.1     0.2     0.1     0.2
 1981 300    22    0.04    0.00    0.34    0.00    65.1   0.000   0.065   0.000   0.559     2.3     0.0    20.2     0.0     229    0.00    0.23    0.00    1.61     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     19.    105.     10.     10.     12.     15.     19.     18.     20.     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.7     0.1     0.1     0.1     0.1     0.1     0.1     0.2
 1981 301    23    0.04    0.00    0.36    0.00    65.3   0.000   0.065   0.000   0.560     2.2     0.0    19.9     0.0     238    0.00    0.24    0.00    1.67     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     19.    108.     11.     11.     13.     17.     20.     19.     21.     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.7     0.1     0.1     0.1     0.1     0.2     0.1     0.2
 1981 302    24    0.05    0.00    0.38    0.00    65.6   0.000   0.066   0.000   0.562     2.2     0.0    19.3     0.0     272    0.00    0.27    0.00    1.91     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     20.    127.     13.     13.     15.     19.     23.     21.     22.     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.8     0.1     0.1     0.1     0.1     0.2     0.2     0.2
 1981 303    25    0.05    0.00    0.40    0.00    65.9   0.000   0.066   0.000   0.564     2.1     0.0    18.5     0.0     308    0.00    0.31    0.00    2.16     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     21.    148.     15.     15.     17.     22.     25.     22.     23.     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     1.0     0.1     0.1     0.1     0.2     0.2     0.2     0.2
 1981 304    26    0.05    0.00    0.41    0.00    66.2   0.000   0.066   0.000   0.567     2.0     0.0    17.6     0.0     339    0.00    0.34    0.00    2.38     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     21.    166.     18.     17.     19.     24.     27.     23.     24.     0.0     0.2     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     1.1     0.1     0.1     0.1     0.2     0.2     0.2     0.2
 1981 305    27    0.05    0.00    0.43    0.00    66.6   0.000   0.067   0.000   0.569     1.8     0.0    16.2     0.0     376    0.00    0.38    0.00    2.63     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     25.    185.     20.     19.     21.     26.     29.     25.     25.     0.0     0.2     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.2     1.2     0.1     0.1     0.2     0.2     0.2     0.2     0.2
 1981 306    28    0.05    0.00    0.44    0.00    66.8   0.000   0.067   0.000   0.571     1.2     0.0    10.8     0.0     197    0.00    0.20    0.00    1.26     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     11.     63.      7.      7.      8.     23.     29.     25.     24.     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.3     0.0     0.0     0.1     0.2     0.2     0.2     0.2
 1981 307    29    0.05    0.00    0.45    0.00    67.0   0.000   0.067   0.000   0.572     1.2     0.0    10.9     0.0     216    0.00    0.22    0.00    1.37     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     18.     73.      8.      8.      9.     22.     28.     24.     25.     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.4     0.0     0.1     0.1     0.2     0.2     0.2     0.2
 1981 308    30    0.06    0.00    0.46    0.00    67.3   0.000   0.067   0.000   0.574     1.3     0.0    11.9     0.0     279    0.00    0.28    0.00    1.86     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     56.     97.     10.     10.     11.     23.     26.     23.     24.     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.4     0.6     0.1     0.1     0.1     0.2     0.2     0.2     0.2
 1981 309    31    0.06    0.00    0.47    0.00    67.5   0.000   0.068   0.000   0.575     1.0     0.0     9.5     0.0     216    0.00    0.22    0.00    1.33     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     21.     81.      8.      9.     11.     20.     22.     22.     23.     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.4     0.0     0.1     0.1     0.1     0.2     0.2     0.2
 1981 310    32    0.06    0.00    0.48    0.10    67.8   0.021   0.068   0.080   0.715     1.2     0.4    10.8   101.1     263   21.10    0.26   80.05  139.28     0.0     4.8    17.2    26.4    29.3    23.4     0.0     0.0     0.0     61.     85.      9.     10.     11.     22.     22.     20.     22.     0.1     0.5     3.5     5.7     6.5     5.0     0.0     0.0     0.0     0.0     4.4    13.8    20.8    22.7    18.4     0.0     0.0     0.0     0.4     2.7    15.8    38.4    43.8    37.6     0.2     0.2     0.2
 1981 311    33    0.06    0.00    0.49    0.14    68.1   0.028   0.068   0.107   0.764     1.3     1.1    11.2    34.3     281    6.86    0.28   27.44   49.61     0.0     0.5     6.0     9.3    10.5     8.1     0.0     0.0     0.0     56.    110.     10.     10.     11.     18.     25.     21.     21.     0.1     0.2     1.2     1.9     2.2     1.6     0.0     0.0     0.0     0.0     0.5     4.8     7.4     8.3     6.5     0.0     0.0     0.0     0.4     1.0     6.5    13.3    15.9    12.1     0.2     0.2     0.2
 1981 312    34    0.06    0.00    0.51    0.15    68.5   0.031   0.068   0.120   0.790     1.5     1.9    11.9    15.9     398    3.19    0.40   12.70   25.78     0.0     0.0     1.6     3.6     4.1     3.1     3.6     0.0     0.0     52.    227.     11.     10.     11.     18.     26.     22.     22.     0.1     0.2     0.3     0.7     0.9     0.6     0.8     0.0     0.0     0.0     0.0     1.3     2.9     3.2     2.5     2.8     0.0     0.0     0.4     1.5     1.9     5.1     6.2     4.6     5.9     0.2     0.2
 1981 313    35    0.06    0.01    0.51    0.24    68.7   0.049   0.069   0.193   0.905     1.1     1.9     8.7    90.6     194   17.77    0.19   72.84  115.50     0.0     0.0    17.7    22.0    27.4    12.7    11.0     0.0     0.0     10.     79.      7.      7.      8.     17.     24.     21.     22.     0.0     0.1     3.1     4.1     5.9     2.4     2.4     0.0     0.0     0.0     0.0    14.6    17.9    21.5    10.3     8.6     0.0     0.0     0.0     0.4    12.1    27.4    39.4    18.2    17.6     0.2     0.2
 1981 314    36    0.06    0.01    0.53    0.36    68.9   0.072   0.069   0.290   1.066     1.8     3.8    13.4   120.2     193   23.51    0.19   96.64  160.81     0.0     0.0    15.1    18.1    24.0    22.8    21.8    18.2     0.0     47.     63.      6.      5.      5.     12.     17.     18.     19.     0.0     0.1     2.4     3.1     4.9     4.2     4.7     4.3     0.0     0.0     0.0    12.8    15.1    19.1    18.6    17.2    13.9     0.0     0.3     0.3     9.1    20.5    32.9    31.5    34.3    31.8     0.1
 1981 315    37    0.07    0.01    0.54    0.41    69.1   0.081   0.069   0.328   1.129     2.1     5.5    15.2    46.5     198    8.61    0.20   37.87   63.12     0.0     0.0     5.2     6.3     8.4     7.8     7.4     6.4     5.0     41.     82.      7.      6.      5.     10.     13.     14.     20.     0.0     0.1     0.8     1.0     1.6     1.3     1.5     1.4     1.2     0.0     0.0     4.4     5.3     6.8     6.5     6.0     5.0     3.8     0.3     0.5     4.1     6.9    11.3     9.9    10.8    10.6     8.7
