*DSSAT Cropping System Model Ver. 4.8.5.000   -release    OCT 17, 2025; 00:47:43

 Unit  Filename
  501  OPCLR
   21  FILEIO
  502  LUNMFW
  503  SIMCDE
   25  DSPRO
   22  DTACDE
  504  RUNLST
  119  OUTINFO
   11  FILEW
   96  OUTO
  505  FNAMETMP
   23  FILETMP
  506  FVCHECK
  507  OUTS
   92  SEVAL
  508  FILECO2
   52  OUTWTH
  509  FILEF
   16  FILETL
  123  WARNING.OUT
   36  OUTM
  510  OUTM2
   13  FILESS
  101  SCBAL
  511  SCBAL2
   44  SoilOrg.OUT
  107  SoilNoBal.OUT
  104  SoilNBalSum.OUT
   64  N2O.OUT   
   63  GHG.OUT   
  106  SoilNiBal.OUT
   43  SoilNi.OUT
   55  Mulch.OUT
  111  SWBAL
   48  OUTWAT
   73  OUTSWL
   47  OUTT
   32  OUTET
   39  PlantGro.OUT
   40  PlantN.OUT
   67  PlantGr2.OUT
   68  PlantGrf.OUT
  512  Leaves.OUT
  513  FILET
